n,Ordered,Reversed,Randomized
1,0,0,0
201,200,20100,19933
401,400,80200,79906
601,600,180300,179872
801,800,320400,319059
1001,1000,500500,500250
1201,1200,720600,720314
1401,1400,980700,979419
1601,1600,1280800,1278532
1801,1800,1620900,1618716
2001,2000,2001000,1999968
2201,2200,2421100,2418194
2401,2400,2881200,2879234
2601,2600,3381300,3378258
2801,2800,3921400,3918745
3001,3000,4501500,4499361
3201,3200,5121600,5118776
3401,3400,5781700,5775203
3601,3600,6481800,6479013
3801,3800,7221900,7220460
4001,4000,8002000,7998918
4201,4200,8822100,8819232
4401,4400,9682200,9679110
4601,4600,10582300,10580356
4801,4800,11522400,11517541
5001,5000,12502500,12499860
5201,5200,13522600,13516857
5401,5400,14582700,14576291
5601,5600,15682800,15678967
5801,5800,16822900,16814913
6001,6000,18003000,17996099
6201,6200,19223100,19219557
6401,6400,20483200,20470963
6601,6600,21783300,21775148
6801,6800,23123400,23114327
7001,7000,24503500,24500014
7201,7200,25923600,25913890
7401,7400,27383700,27378659
7601,7600,28883800,28872182
7801,7800,30423900,30416503
8001,8000,32004000,31998045
8201,8200,33624100,33618948
8401,8400,35284200,35280747
8601,8600,36984300,36974650
8801,8800,38724400,38720062
9001,9000,40504500,40496452
9201,9200,42324600,42301084
9401,9400,44184700,44171978
9601,9600,46084800,46079269
9801,9800,48024900,48018636
10001,10000,50005000,49998707
10201,10200,52025100,52018989
10401,10400,54085200,54074981
10601,10600,56185300,56168282
10801,10800,58325400,58319216
11001,11000,60505500,60493886
11201,11200,62725600,62717207
11401,11400,64985700,64970627
11601,11600,67285800,67273445
11801,11800,69625900,69616792
12001,12000,72006000,72000480
12201,12200,74426100,74419396
12401,12400,76886200,76882186
12601,12600,79386300,79380171
12801,12800,81926400,81909231
13001,13000,84506500,84492284
13201,13200,87126600,87111217
13401,13400,89786700,89770553
13601,13600,92486800,92463038
13801,13800,95226900,95216202
14001,14000,98007000,97999273
14201,14200,100827100,100807581
14401,14400,103687200,103675182
14601,14600,106587300,106560247
14801,14800,109527400,109515268
15001,15000,112507500,112471866
15201,15200,115527600,115514219
15401,15400,118587700,118575831
15601,15600,121687800,121664254
15801,15800,124827900,124808394
16001,16000,128008000,128002438
16201,16200,131228100,131209845
16401,16400,134488200,134480514
16601,16600,137788300,137774375
16801,16800,141128400,141120241
17001,17000,144508500,144481033
17201,17200,147928600,147902153
17401,17400,151388700,151368494
17601,17600,154888800,154878131
17801,17800,158428900,158412500
18001,18000,162009000,161991070
18201,18200,165629100,165618550
18401,18400,169289200,169280414
18601,18600,172989300,172975239
18801,18800,176729400,176712160
19001,19000,180509500,180492153
19201,19200,184329600,184310576
19401,19400,188189700,188179011
19601,19600,192089800,192070543
19801,19800,196029900,196019307
20001,20000,200010000,199949788
20201,20200,204030100,204019120
20401,20400,208090200,208072145
20601,20600,212190300,212174154
20801,20800,216330400,216284180
21001,21000,220510500,220491038
21201,21200,224730600,224718471
21401,21400,228990700,228973962
21601,21600,233290800,233271935
21801,21800,237630900,237611972
22001,22000,242011000,241990628
22201,22200,246431100,246414125
22401,22400,250891200,250879593
22601,22600,255391300,255379316
22801,22800,259931400,259928150
23001,23000,264511500,264496240
23201,23200,269131600,269105053
23401,23400,273791700,273767627
23601,23600,278491800,278474430
23801,23800,283231900,283202681
24001,24000,288012000,287994981
24201,24200,292832100,292820282
24401,24400,297692200,297666311
24601,24600,302592300,302567375
24801,24800,307532400,307499373
25001,25000,312512500,312489786
25201,25200,317532600,317490319
25401,25400,322592700,322558492
25601,25600,327692800,327655631
25801,25800,332832900,332803521
26001,26000,338013000,337980754
26201,26200,343233100,343200824
26401,26400,348493200,348469746
26601,26600,353793300,353758256
26801,26800,359133400,359101761
27001,27000,364513500,364493113
27201,27200,369933600,369895504
27401,27400,375393700,375377596
27601,27600,380893800,380874578
27801,27800,386433900,386390184
28001,28000,392014000,391977177
28201,28200,397634100,397604395
28401,28400,403294200,403281633
28601,28600,408994300,408964112
28801,28800,414734400,414710036
29001,29000,420514500,420484989
29201,29200,426334600,426323295
29401,29400,432194700,432181306
29601,29600,438094800,438077197
29801,29800,444034900,444004711
