n,Ordered,Reversed,Randomized
1,0,0,0
201,0,20100,10284
401,0,80200,40453
601,0,180300,89598
801,0,320400,160910
1001,0,500500,251818
1201,0,720600,362874
1401,0,980700,485348
1601,0,1280800,640370
1801,0,1620900,807851
2001,0,2001000,1002552
2201,0,2421100,1202930
2401,0,2881200,1429736
2601,0,3381300,1676951
2801,0,3921400,1958330
3001,0,4501500,2249956
3201,0,5121600,2541859
3401,0,5781700,2874660
3601,0,6481800,3230102
3801,0,7221900,3604117
4001,0,8002000,3993958
4201,0,8822100,4378585
4401,0,9682200,4823712
4601,0,10582300,5288209
4801,0,11522400,5755372
5001,0,12502500,6278892
5201,0,13522600,6760052
5401,0,14582700,7217215
5601,0,15682800,7836560
5801,0,16822900,8375097
6001,0,18003000,8962992
6201,0,19223100,9604048
6401,0,20483200,10282164
6601,0,21783300,10947615
6801,0,23123400,11583779
7001,0,24503500,12259752
7201,0,25923600,12919641
7401,0,27383700,13645395
7601,0,28883800,14497768
7801,0,30423900,15240078
8001,0,32004000,16026659
8201,0,33624100,16832875
8401,0,35284200,17682306
8601,0,36984300,18526876
8801,0,38724400,19417862
9001,0,40504500,20220080
9201,0,42324600,21130261
9401,0,44184700,22044862
9601,0,46084800,23056062
9801,0,48024900,23996368
10001,0,50005000,24942854
10201,0,52025100,26001827
10401,0,54085200,27057207
10601,0,56185300,28186197
10801,0,58325400,29172390
11001,0,60505500,30185851
11201,0,62725600,31191138
11401,0,64985700,32388444
11601,0,67285800,33554902
11801,0,69625900,34795439
12001,0,72006000,35900646
12201,0,74426100,37299191
12401,0,76886200,38407010
12601,0,79386300,39760468
12801,0,81926400,40952939
13001,0,84506500,42253815
13201,0,87126600,43411501
13401,0,89786700,44850567
13601,0,92486800,46394092
13801,0,95226900,47477570
14001,0,98007000,48919206
14201,0,100827100,50454383
14401,0,103687200,51854613
14601,0,106587300,53234288
14801,0,109527400,54909127
15001,0,112507500,56454256
15201,0,115527600,57923402
15401,0,118587700,59211883
15601,0,121687800,60908499
15801,0,124827900,62506291
16001,0,128008000,64068214
16201,0,131228100,65652372
16401,0,134488200,67173797
16601,0,137788300,68717846
16801,0,141128400,70710054
17001,0,144508500,72431022
17201,0,147928600,73987496
17401,0,151388700,75712994
17601,0,154888800,77397876
17801,0,158428900,79217081
18001,0,162009000,80957616
18201,0,165629100,82902069
18401,0,169289200,84614685
18601,0,172989300,86253099
18801,0,176729400,88487399
19001,0,180509500,90294032
19201,0,184329600,91996881
19401,0,188189700,93942045
19601,0,192089800,95925387
19801,0,196029900,97710932
20001,0,200010000,100064882
20201,0,204030100,102227086
20401,0,208090200,104143133
20601,0,212190300,106040126
20801,0,216330400,108316234
21001,0,220510500,110084356
21201,0,224730600,112339418
21401,0,228990700,114260156
21601,0,233290800,116927179
21801,0,237630900,118737978
22001,0,242011000,121005452
22201,0,246431100,123191311
22401,0,250891200,125321318
22601,0,255391300,127734275
22801,0,259931400,130205619
23001,0,264511500,132032867
23201,0,269131600,134555785
23401,0,273791700,137129756
23601,0,278491800,139640243
23801,0,283231900,141632040
24001,0,288012000,143489946
24201,0,292832100,146908617
24401,0,297692200,149134737
24601,0,302592300,151136945
24801,0,307532400,153660723
25001,0,312512500,156484788
25201,0,317532600,158802602
25401,0,322592700,161010220
25601,0,327692800,164408844
25801,0,332832900,166623898
26001,0,338013000,169155416
26201,0,343233100,171684589
26401,0,348493200,173746027
26601,0,353793300,176844607
26801,0,359133400,179142238
27001,0,364513500,181902075
27201,0,369933600,185014034
27401,0,375393700,187712949
27601,0,380893800,190499728
27801,0,386433900,193542605
28001,0,392014000,195658542
28201,0,397634100,199042029
28401,0,403294200,201850015
28601,0,408994300,204725506
28801,0,414734400,207332692
29001,0,420514500,210044542
29201,0,426334600,213318992
29401,0,432194700,216261419
29601,0,438094800,219074776
29801,0,444034900,222766362
