n,Ordered,Reversed,Randomized,Complexity
1,0,0.000001,0,0
201,0,0.000088,0.000082,134
401,0.000001,0.000351,0.000296,536
601,0.000001,0.000774,0.00066,1204
801,0.000002,0.001396,0.001147,2138
1001,0.000002,0.00217,0.001799,3340
1201,0.000003,0.003124,0.002536,4808
1401,0.000004,0.004327,0.003454,6542
1601,0.000004,0.005614,0.004565,8544
1801,0.000004,0.007134,0.005706,10812
2001,0.000004,0.008857,0.007107,13346
2201,0.000005,0.010748,0.008552,16148
2401,0.000006,0.014566,0.012061,19216
2601,0.000005,0.014566,0.011624,22550
2801,0.000006,0.016947,0.013693,26152
3001,0.000007,0.019757,0.015734,30020
3201,0.000007,0.022589,0.01786,34154
3401,0.000008,0.025837,0.020347,38556
3601,0.000007,0.028831,0.023136,43224
3801,0.000009,0.032135,0.025161,48158
4001,0.00001,0.036013,0.028631,53360
4201,0.000009,0.038892,0.031028,58828
4401,0.00001,0.043367,0.034084,64562
4601,0.00001,0.046566,0.037042,70564
4801,0.000011,0.051008,0.040268,76832
5001,0.000011,0.056226,0.043777,83366
5201,0.000011,0.059962,0.046795,90168
5401,0.000012,0.064164,0.050802,97236
5601,0.000012,0.069388,0.054946,104570
5801,0.000012,0.074586,0.059633,112172
6001,0.000013,0.079943,0.062573,120040
6201,0.000014,0.085076,0.067416,128174
6401,0.000013,0.090422,0.07182,136576
6601,0.000014,0.09634,0.076732,145244
6801,0.000015,0.101969,0.084951,154178
7001,0.000016,0.109771,0.087551,163380
7201,0.000019,0.114615,0.092569,172848
7401,0.000015,0.121871,0.098043,182582
7601,0.000016,0.129351,0.103114,192584
7801,0.000016,0.136637,0.109601,202852
8001,0.000017,0.143367,0.115671,213386
8201,0.000017,0.149524,0.121414,224188
8401,0.000017,0.155875,0.128211,235256
8601,0.000018,0.16544,0.135425,246590
8801,0.000018,0.171588,0.142552,258192
9001,0.000021,0.179575,0.149587,270060
9201,0.000019,0.188295,0.156085,282194
9401,0.000021,0.19741,0.166099,294596
9601,0.00002,0.206597,0.173511,307264
9801,0.000021,0.21477,0.180993,320198
10001,0.00002,0.222039,0.190667,333400
10201,0.000024,0.233171,0.200916,346868
10401,0.000024,0.242639,0.209329,360602
10601,0.000022,0.252046,0.218833,374604
10801,0.000023,0.26172,0.227534,388872
11001,0.000023,0.272018,0.237944,403406
11201,0.000023,0.282611,0.247126,418208
11401,0.000024,0.292682,0.255168,433276
11601,0.000024,0.30344,0.269114,448610
11801,0.000025,0.316293,0.279904,464212
12001,0.000027,0.32623,0.286316,480080
12201,0.000026,0.331228,0.301606,496214
12401,0.000026,0.346735,0.312407,512616
