n,Ordered,Reversed,Randomized
1,1,1,1
201,40401,40401,40401
401,160801,160801,160801
601,361201,361201,361201
801,641601,641601,641601
1001,1002001,1002001,1002001
1201,1442401,1442401,1442401
1401,1962801,1962801,1962801
1601,2563201,2563201,2563201
1801,3243601,3243601,3243601
2001,4004001,4004001,4004001
2201,4844401,4844401,4844401
2401,5764801,5764801,5764801
2601,6765201,6765201,6765201
2801,7845601,7845601,7845601
3001,9006001,9006001,9006001
3201,10246401,10246401,10246401
3401,11566801,11566801,11566801
3601,12967201,12967201,12967201
3801,14447601,14447601,14447601
4001,16008001,16008001,16008001
4201,17648401,17648401,17648401
4401,19368801,19368801,19368801
4601,21169201,21169201,21169201
4801,23049601,23049601,23049601
5001,25010001,25010001,25010001
5201,27050401,27050401,27050401
5401,29170801,29170801,29170801
5601,31371201,31371201,31371201
5801,33651601,33651601,33651601
6001,36012001,36012001,36012001
6201,38452401,38452401,38452401
6401,40972801,40972801,40972801
6601,43573201,43573201,43573201
6801,46253601,46253601,46253601
7001,49014001,49014001,49014001
7201,51854401,51854401,51854401
7401,54774801,54774801,54774801
7601,57775201,57775201,57775201
7801,60855601,60855601,60855601
8001,64016001,64016001,64016001
8201,67256401,67256401,67256401
8401,70576801,70576801,70576801
8601,73977201,73977201,73977201
8801,77457601,77457601,77457601
9001,81018001,81018001,81018001
9201,84658401,84658401,84658401
9401,88378801,88378801,88378801
9601,92179201,92179201,92179201
9801,96059601,96059601,96059601
10001,100020001,100020001,100020001
10201,104060401,104060401,104060401
10401,108180801,108180801,108180801
10601,112381201,112381201,112381201
10801,116661601,116661601,116661601
11001,121022001,121022001,121022001
11201,125462401,125462401,125462401
11401,129982801,129982801,129982801
11601,134583201,134583201,134583201
11801,139263601,139263601,139263601
12001,144024001,144024001,144024001
12201,148864401,148864401,148864401
12401,153784801,153784801,153784801
12601,158785201,158785201,158785201
12801,163865601,163865601,163865601
13001,169026001,169026001,169026001
13201,174266401,174266401,174266401
13401,179586801,179586801,179586801
13601,184987201,184987201,184987201
13801,190467601,190467601,190467601
14001,196028001,196028001,196028001
14201,201668401,201668401,201668401
14401,207388801,207388801,207388801
14601,213189201,213189201,213189201
14801,219069601,219069601,219069601
15001,225030001,225030001,225030001
15201,231070401,231070401,231070401
15401,237190801,237190801,237190801
15601,243391201,243391201,243391201
15801,249671601,249671601,249671601
16001,256032001,256032001,256032001
16201,262472401,262472401,262472401
16401,268992801,268992801,268992801
16601,275593201,275593201,275593201
16801,282273601,282273601,282273601
17001,289034001,289034001,289034001
17201,295874401,295874401,295874401
17401,302794801,302794801,302794801
17601,309795201,309795201,309795201
17801,316875601,316875601,316875601
18001,324036001,324036001,324036001
18201,331276401,331276401,331276401
18401,338596801,338596801,338596801
18601,345997201,345997201,345997201
18801,353477601,353477601,353477601
19001,361038001,361038001,361038001
19201,368678401,368678401,368678401
19401,376398801,376398801,376398801
19601,384199201,384199201,384199201
19801,392079601,392079601,392079601
20001,400040001,400040001,400040001
20201,408080401,408080401,408080401
20401,416200801,416200801,416200801
20601,424401201,424401201,424401201
20801,432681601,432681601,432681601
21001,441042001,441042001,441042001
21201,449482401,449482401,449482401
21401,458002801,458002801,458002801
21601,466603201,466603201,466603201
21801,475283601,475283601,475283601
22001,484044001,484044001,484044001
22201,492884401,492884401,492884401
22401,501804801,501804801,501804801
22601,510805201,510805201,510805201
22801,519885601,519885601,519885601
23001,529046001,529046001,529046001
23201,538286401,538286401,538286401
23401,547606801,547606801,547606801
23601,557007201,557007201,557007201
23801,566487601,566487601,566487601
24001,576048001,576048001,576048001
24201,585688401,585688401,585688401
24401,595408801,595408801,595408801
24601,605209201,605209201,605209201
24801,615089601,615089601,615089601
25001,625050001,625050001,625050001
25201,635090401,635090401,635090401
25401,645210801,645210801,645210801
25601,655411201,655411201,655411201
25801,665691601,665691601,665691601
26001,676052001,676052001,676052001
26201,686492401,686492401,686492401
26401,697012801,697012801,697012801
26601,707613201,707613201,707613201
26801,718293601,718293601,718293601
27001,729054001,729054001,729054001
27201,739894401,739894401,739894401
27401,750814801,750814801,750814801
27601,761815201,761815201,761815201
27801,772895601,772895601,772895601
28001,784056001,784056001,784056001
28201,795296401,795296401,795296401
28401,806616801,806616801,806616801
28601,818017201,818017201,818017201
28801,829497601,829497601,829497601
29001,841058001,841058001,841058001
29201,852698401,852698401,852698401
29401,864418801,864418801,864418801
29601,876219201,876219201,876219201
29801,888099601,888099601,888099601
