n,Ordered,Reversed,Randomized
1,0.000001,0.000001,0.000000
201,0.000102,0.000091,0.000122
401,0.000349,0.000352,0.000480
601,0.000782,0.000780,0.001169
801,0.001349,0.001354,0.002197
1001,0.002161,0.002130,0.003545
1201,0.003023,0.003045,0.005324
1401,0.004128,0.004130,0.007340
1601,0.005377,0.005405,0.009856
1801,0.006733,0.006751,0.012994
2001,0.008603,0.008510,0.014308
2201,0.009806,0.009912,0.018748
2401,0.011578,0.011791,0.022057
2601,0.014210,0.014009,0.026231
2801,0.015260,0.015166,0.030825
3001,0.017901,0.017123,0.034624
3201,0.020872,0.020977,0.041179
3401,0.024203,0.023628,0.046449
3601,0.026972,0.026781,0.050519
3801,0.029566,0.029169,0.056095
4001,0.033598,0.033189,0.064788
4201,0.036837,0.036673,0.070789
4401,0.040442,0.040007,0.078360
4601,0.043496,0.043409,0.084864
4801,0.048156,0.047479,0.092528
5001,0.051248,0.051357,0.100788
5201,0.055495,0.054299,0.106752
5401,0.056963,0.058847,0.117652
5601,0.064406,0.064359,0.127654
5801,0.069766,0.069528,0.141173
6001,0.074357,0.075395,0.152563
6201,0.082243,0.081242,0.160508
6401,0.083798,0.085870,0.168904
6601,0.090769,0.090315,0.181752
6801,0.097728,0.096119,0.191553
7001,0.102504,0.102456,0.199842
7201,0.107527,0.107195,0.215998
7401,0.116504,0.114266,0.225767
7601,0.119832,0.120352,0.238711
7801,0.129668,0.157002,0.260105
8001,0.143086,0.130873,0.270123
8201,0.153634,0.148212,0.282448
8401,0.146691,0.147194,0.293997
8601,0.153107,0.153280,0.306795
8801,0.161963,0.160710,0.323534
9001,0.168424,0.167658,0.335448
9201,0.175504,0.175769,0.355630
9401,0.182419,0.182546,0.367688
9601,0.191926,0.193994,0.388764
9801,0.198897,0.199030,0.398940
10001,0.206758,0.209551,0.427567
10201,0.220301,0.216095,0.437486
10401,0.229442,0.229204,0.450763
10601,0.231756,0.231790,0.470570
10801,0.240539,0.241069,0.488118
11001,0.250002,0.251702,0.506352
11201,0.264886,0.264488,0.537497
11401,0.273932,0.274499,0.557486
11601,0.284143,0.282324,0.569353
11801,0.293896,0.293670,0.592835
12001,0.302483,0.302271,0.613034
12201,0.312781,0.314391,0.637760
12401,0.316540,0.310991,0.665643
12601,0.378545,0.345078,0.689265
12801,0.341943,0.342055,0.714002
13001,0.346558,0.348079,0.817187
13201,0.551482,0.514626,0.781566
13401,0.519678,0.472642,0.872233
13601,0.415135,0.494878,0.839373
13801,0.409814,0.413027,0.827572
14001,0.419203,0.420704,0.839915
14201,0.429168,0.431177,0.909342
14401,0.431942,0.434805,0.894431
14601,0.438296,0.446619,0.934574
14801,0.484215,0.476175,0.962639
15001,0.495477,0.529326,1.004904
15201,0.491804,0.493520,1.035471
15401,0.523772,0.503288,1.041141
15601,0.514013,0.540159,1.074963
15801,0.530430,0.557158,1.118881
16001,0.533616,0.551480,1.127149
16201,0.575155,0.564915,1.144288
16401,0.570650,0.568134,1.161092
16601,0.577016,0.578091,1.187462
16801,0.584500,0.606838,1.243925
17001,0.625289,0.623459,1.249339
17201,0.619172,0.620849,1.273777
17401,0.648490,0.649290,1.330649
17601,0.648690,0.653297,1.350524
17801,0.688779,0.696989,1.380575
18001,0.680085,0.679119,1.418091
18201,0.715634,0.751910,1.454478
18401,0.716335,0.730492,1.509843
18601,0.736173,0.747775,1.553582
18801,0.787515,0.779269,1.563246
19001,0.772371,0.799573,1.594107
19201,0.779734,0.777042,1.605368
19401,0.798155,0.794162,1.665144
19601,0.912080,0.852263,1.710797
19801,0.830874,0.852117,1.727175
20001,0.851122,0.851716,1.755966
20201,0.880883,0.849042,1.780674
20401,0.901066,0.885124,1.824280
20601,0.951887,0.930682,1.881060
20801,0.916059,0.916370,1.903801
21001,0.980868,0.965457,1.974403
21201,0.968818,0.957884,1.976204
21401,0.976488,0.979710,2.030138
21601,0.997294,0.997775,2.064343
21801,1.058738,1.053763,2.160189
22001,1.093695,1.077220,2.269889
22201,1.101798,1.069781,2.194454
22401,1.112486,1.130060,2.247077
22601,1.120680,1.130831,2.286836
22801,1.124177,1.139209,2.311750
23001,1.117643,1.140393,2.329303
23201,1.174378,1.148619,2.404018
23401,1.184361,1.188492,2.433519
23601,1.181072,1.190843,2.457137
23801,1.213760,1.210790,2.519516
24001,1.244617,1.246699,2.529058
24201,1.268087,1.262427,2.628152
24401,1.301877,1.296775,2.685136
24601,1.328862,1.332342,2.742850
24801,1.332063,1.317332,2.727387
25001,1.324847,1.342767,2.758875
25201,1.370712,1.374712,2.814982
25401,1.373379,1.379187,2.834011
25601,1.396896,1.401055,2.885924
25801,1.430222,1.433334,2.937195
26001,1.412563,1.502442,3.012789
26201,1.494861,1.480532,3.062492
26401,1.501981,1.540844,3.120022
26601,1.534041,1.537059,3.188364
26801,1.550755,1.555277,3.221081
27001,1.619343,1.601267,3.284795
27201,1.615112,1.619889,3.328509
27401,1.645463,1.639242,3.395644
27601,1.646075,1.687778,3.396402
27801,1.674789,1.689540,3.449953
28001,1.686763,1.694916,3.470793
28201,1.708677,1.707458,3.526607
28401,1.736951,1.747518,3.574268
28601,1.740597,1.764598,3.624416
28801,1.753746,1.779646,3.672378
29001,1.794456,1.795241,3.711510
29201,1.833867,1.821410,3.754220
29401,1.870216,1.874402,3.815893
29601,1.865319,1.880903,3.847985
29801,1.902281,1.904713,3.925849
