order, n, time, comps, swaps
ordered, 100, 0.000003, 99, 0
ordered, 1000, 0.000003, 999, 0
ordered, 10000, 0.000026, 9999, 0
ordered, 100000, 0.000261, 99999, 0
reversed, 100, 0.000035, 4950, 4950
reversed, 1000, 0.003380, 499500, 499500
reversed, 10000, 0.159259, 49995000, 49995000
reversed, 100000, 14.894536, 4999950000, 4999950000
randomized, 100, 0.000016, 4845, 2514
randomized, 1000, 0.001288, 499065, 253375
randomized, 10000, 0.119552, 49983974, 25117939
randomized, 100000, 18.071627, 4999892370, 2493390328
