order, n, time, comps, swaps
ordered, 100, 0.000003, 732, 63
ordered, 1000, 0.000016, 10031, 511
ordered, 10000, 0.000194, 137247, 5904
ordered, 100000, 0.002264, 1731086, 65535
reversed, 100, 0.000001, 736, 112
reversed, 1000, 0.000017, 10038, 1010
reversed, 10000, 0.000204, 137262, 10904
reversed, 100000, 0.002451, 1731100, 115534
randomized, 100, 0.000008, 1089, 206
randomized, 1000, 0.000091, 15628, 2842
randomized, 10000, 0.001040, 199698, 36208
randomized, 100000, 0.011308, 2639820, 434685
