order, n, time, comps, swaps
ordered, 100, 0.000001, 99, 0
ordered, 1000, 0.000002, 999, 0
ordered, 10000, 0.000026, 9999, 0
ordered, 100000, 0.000254, 99999, 0
reversed, 100, 0.000015, 4950, 5049
reversed, 1000, 0.001277, 499500, 500499
reversed, 10000, 0.073900, 49995000, 50004999
reversed, 100000, 8.222522, 4999950000, 5000049999
randomized, 100, 0.000008, 2611, 2608
randomized, 1000, 0.000489, 254370, 254366
randomized, 10000, 0.048408, 25127927, 25127933
randomized, 100000, 4.517229, 2493490312, 2493490320
