order, n, time, comps, swaps
ordered, 100, 0.000005, 732, 63
ordered, 1000, 0.000021, 10031, 511
ordered, 10000, 0.000249, 137247, 5904
ordered, 100000, 0.002819, 1731086, 65535
reversed, 100, 0.000002, 736, 112
reversed, 1000, 0.000020, 10038, 1010
reversed, 10000, 0.000244, 137262, 10904
reversed, 100000, 0.002903, 1731100, 115534
randomized, 100, 0.000009, 1089, 206
randomized, 1000, 0.000107, 15628, 2842
randomized, 10000, 0.001188, 199698, 36208
randomized, 100000, 0.012733, 2639820, 434685
