order, n, time, comps, swaps
ordered, 100, 0.000016, 4950, 0
ordered, 1000, 0.001092, 499500, 0
ordered, 10000, 0.066119, 49995000, 0
ordered, 100000, 5.338802, 4999950000, 0
reversed, 100, 0.000011, 4950, 50
reversed, 1000, 0.000800, 499500, 500
reversed, 10000, 0.079903, 49995000, 5000
reversed, 100000, 7.708148, 4999950000, 50000
randomized, 100, 0.000011, 4950, 96
randomized, 1000, 0.000592, 499500, 991
randomized, 10000, 0.054159, 49995000, 9989
randomized, 100000, 5.488539, 4999950000, 99991
