n,Ordered,Reversed,Randomized
1,0,0,0
201,3186,2646,2927
401,7170,6046,6618
601,11426,9746,10649
801,15938,13706,14884
1001,20426,17758,19158
1201,25222,21898,23671
1401,30146,26106,28282
1601,34946,30494,32930
1801,39946,34986,37586
2001,44634,39470,42310
2201,50102,43974,47213
2401,55450,48678,52182
2601,60806,53190,57123
2801,66166,57986,62152
3001,71538,62566,67208
3201,76866,67514,72224
3401,82166,72222,77294
3601,87586,77186,82419
3801,92926,81974,87498
4001,98294,86706,92602
4201,103846,91718,97864
4401,109594,96662,103121
4601,115358,101774,108471
4801,121110,106690,113864
5001,126898,111874,119239
5201,132642,116742,124503
5401,138422,121930,129966
5601,144194,127006,135450
5801,149962,132054,140994
6001,155690,137170,146262
6201,161454,142418,151858
6401,167218,147614,157207
6601,172962,152982,162777
6801,178730,158166,168308
7001,184526,163462,173642
7201,190234,168602,179234
7401,196038,173870,184745
7601,201746,179266,190176
7801,207530,184482,195762
8001,213294,189882,201170
8201,219074,195018,206826
8401,225170,200434,212474
8601,231254,206058,218170
8801,237350,211358,223916
9001,243466,217054,229618
9201,249534,222414,235293
9401,255634,228138,241111
9601,261714,233490,246956
9801,267818,238998,252597
10001,273938,244322,258521
10201,280062,250266,264206
10401,286106,255266,269909
10601,292202,261074,275829
10801,298306,266374,281732
11001,304398,272550,287399
11201,310486,277474,293227
11401,316590,283510,299000
11601,322674,288458,304914
11801,328798,294770,310731
12001,334882,299654,316678
12201,341018,305666,322442
12401,347062,310574,328216
12601,353150,317294,334184
12801,359246,322394,339994
13001,365366,328354,345798
13201,371466,333326,351840
13401,377530,339954,357737
13601,383626,344962,363654
13801,389722,351218,369586
14001,395850,356190,375394
14201,401910,362714,381250
14401,408014,367558,387095
14601,414090,374058,393260
14801,420210,378718,399011
15001,426310,385514,404962
15201,432418,390170,410849
15401,438510,396394,416848
15601,444594,401278,422729
15801,450714,408142,428660
16001,456802,412650,434632
16201,462902,419126,440355
16401,469042,423930,446335
16601,475370,430914,452406
16801,481898,435446,458513
17001,488402,441962,464612
17201,494910,446658,470884
17401,501410,453678,476742
17601,507890,458530,483014
17801,514374,465050,489070
18001,520894,469746,495290
18201,527370,476662,501426
18401,533862,481210,507584
18601,540346,488162,513550
18801,546826,492610,519840
19001,553298,499646,526078
19201,559810,504370,532064
19401,566310,511086,538193
19601,572798,515874,544450
19801,579278,522782,550540
20001,585790,527502,556785
20201,592266,534578,562897
20401,598782,539150,569222
20601,605262,546094,575441
20801,611750,550742,581615
21001,618234,557902,587852
21201,624714,562554,593958
21401,631214,569630,600280
21601,637654,574062,606206
21801,644162,581402,612675
22001,650686,585486,618930
22201,657174,592666,625186
22401,663666,597562,631384
22601,670114,604598,637504
22801,676606,609038,643777
23001,683070,616186,649856
23201,689546,620966,656117
23401,696038,628002,662568
23601,702546,632338,668638
23801,709042,639702,675102
24001,715558,644534,681277
24201,722042,651482,687668
24401,728542,656030,693821
24601,734942,663138,699900
24801,741486,667774,706213
25001,747954,675382,712553
25201,754438,680282,718604
25401,760930,687506,725067
25601,767434,692334,731294
25801,773942,699674,737846
26001,780418,704254,743831
26201,786918,711650,750356
26401,793410,716102,756196
26601,799914,723834,762824
26801,806394,728306,769002
27001,812898,735934,775324
27201,819374,740658,781646
27401,825806,748078,787695
27601,832350,752714,794263
27801,838806,760390,800550
28001,845314,764450,806764
28201,851814,772450,813138
28401,858282,776862,819250
28601,864806,785006,825544
28801,871282,788702,832038
29001,877778,796194,838090
29201,884294,800998,844480
29401,890750,808890,850847
29601,897254,812566,856957
29801,903706,820538,863580
