n,Ordered,Reversed,Randomized
1,1,1,1
201,1494,1224,1364
401,3386,2824,3110
601,5414,4574,5025
801,7570,6454,7043
1001,9714,8380,9080
1201,12012,10350,11236
1401,14374,12354,13442
1601,16674,14448,15666
1801,19074,16594,17894
2001,21318,18736,20156
2201,23952,20888,22507
2401,26526,23140,24892
2601,29104,25296,27262
2801,31684,27594,29677
3001,34270,29784,32105
3201,36834,32158,34513
3401,39384,34412,36948
3601,41994,36794,39410
3801,44564,39088,41850
4001,47148,41354,44302
4201,49824,43760,46833
4401,52598,46132,49361
4601,55380,48588,51936
4801,58156,50946,54533
5001,60950,53438,57120
5201,63722,55772,59652
5401,66512,58266,62284
5601,69298,60704,64926
5801,72082,63128,67598
6001,74846,65586,70132
6201,77628,68110,72830
6401,80410,70608,75404
6601,83182,73192,78089
6801,85966,75684,80755
7001,88764,78232,83322
7201,91518,80702,86018
7401,94320,83236,88673
7601,97074,85834,91289
7801,99866,88342,93982
8001,102648,90942,96586
8201,105438,93410,99314
8401,108386,96018,102038
8601,111328,98730,104786
8801,114276,101280,107559
9001,117234,104028,110310
9201,120168,106608,113047
9401,123118,109370,115856
9601,126058,111946,118679
9801,129010,114600,121399
10001,131970,117162,124261
10201,134932,120034,127004
10401,137854,122434,129755
10601,140802,125238,132615
10801,143754,127788,135467
11001,146700,130776,138200
11201,149644,133138,141014
11401,152596,136056,143801
11601,155538,138430,146658
11801,158500,141486,149466
12001,161442,143828,152340
12201,164410,146734,155122
12401,167332,149088,157909
12601,170276,152348,160793
12801,173224,154798,163598
13001,176184,157678,166400
13201,179134,160064,169321
13401,182066,163278,172169
13601,185014,165682,175028
13801,187962,168710,177894
14001,190926,171096,180698
14201,193856,174258,183526
14401,196808,176580,186348
14601,199746,179730,189331
14801,202706,181960,192106
15001,205656,185258,194982
15201,208610,187486,197825
15401,211556,190498,200725
15601,214498,192840,203565
15801,217458,196172,206431
16001,220402,198326,209317
16201,223352,201464,212078
16401,226322,203766,214968
16601,229386,207158,217904
16801,232550,209324,220857
17001,235702,212482,223807
17201,238856,214730,226843
17401,242006,218140,229672
17601,245146,220466,232708
17801,248288,223626,235636
18001,251448,225874,238646
18201,254586,229232,241614
18401,257732,231406,244593
18601,260874,234782,247476
18801,264014,236906,250521
19001,267150,240324,253540
19201,270306,242586,256433
19401,273456,245844,259397
19601,276600,248138,262426
19801,279740,251492,265371
20001,282896,253752,268393
20201,286034,257190,271349
20401,289192,259376,274412
20601,292332,262748,277421
20801,295476,264972,280408
21001,298618,268452,283427
21201,301758,270678,286380
21401,304908,274116,289441
21601,308028,276232,292304
21801,311182,279802,295438
22001,314344,281744,298466
22201,317488,285234,301494
22401,320634,287582,304493
22601,323758,291000,307453
22801,326904,293120,310489
23001,330036,296594,313429
23201,333174,298884,316459
23401,336320,302302,319585
23601,339474,304370,322520
23801,342622,307952,325652
24001,345780,310268,328639
24201,348922,313642,331735
24401,352072,315816,334711
24601,355172,319270,337651
24801,358344,321488,340707
25001,361478,325192,343777
25201,364620,327542,346703
25401,367766,331054,349834
25601,370918,333368,352848
25801,374072,336938,356024
26001,377210,339128,358916
26201,380360,342726,362079
26401,383506,344852,364899
26601,386658,348618,368113
26801,389798,350754,371102
27001,392950,354468,374163
27201,396088,356730,377224
27401,399204,360340,380148
27601,402376,362558,383332
27801,405504,366296,386376
28001,408658,368226,389383
28201,411808,372126,392470
28401,414942,374232,395426
28601,418104,378204,398473
28801,421242,379952,401620
29001,424390,383598,404546
29201,427548,385900,407641
29401,430676,389746,410724
29601,433828,391484,413679
29801,436954,395370,416891
