n,Ordered,Reversed,Randomized
1,0.000000,0.000000,0.000000
201,0.000019,0.000017,0.000022
401,0.000039,0.000036,0.000041
601,0.000060,0.000058,0.000070
801,0.000084,0.000079,0.000093
1001,0.000106,0.000098,0.000119
1201,0.000133,0.000125,0.000146
1401,0.000159,0.000144,0.000176
1601,0.000184,0.000167,0.000205
1801,0.000213,0.000208,0.000241
2001,0.000231,0.000235,0.000271
2201,0.000257,0.000255,0.000300
2401,0.000295,0.000282,0.000334
2601,0.000320,0.000310,0.000373
2801,0.000366,0.000321,0.000389
3001,0.000370,0.000351,0.000424
3201,0.000393,0.000394,0.000458
3401,0.000451,0.000405,0.000496
3601,0.000453,0.000464,0.000563
3801,0.000490,0.000471,0.000557
4001,0.000495,0.000514,0.000599
4201,0.000547,0.000520,0.000642
4401,0.000554,0.000565,0.000659
4601,0.000628,0.000604,0.000686
4801,0.000614,0.000589,0.000735
5001,0.000634,0.000624,0.000761
5201,0.000676,0.000658,0.000794
5401,0.000747,0.000707,0.000845
5601,0.000726,0.000732,0.000853
5801,0.000749,0.000755,0.000890
6001,0.000768,0.000792,0.000917
6201,0.000802,0.000816,0.000976
6401,0.000838,0.000828,0.000977
6601,0.000858,0.000840,0.001014
6801,0.000874,0.000895,0.001038
7001,0.000944,0.000865,0.001095
7201,0.000968,0.000933,0.001144
7401,0.001006,0.000943,0.001171
7601,0.001029,0.000995,0.001177
7801,0.001014,0.000989,0.001230
8001,0.001038,0.001006,0.001246
8201,0.001060,0.001101,0.001278
8401,0.001169,0.001077,0.001333
8601,0.001189,0.001130,0.001385
8801,0.001152,0.001158,0.001417
9001,0.001217,0.001222,0.001437
9201,0.001201,0.001214,0.001477
9401,0.001310,0.001239,0.001523
9601,0.001377,0.001294,0.001559
9801,0.001309,0.001294,0.001553
10001,0.001348,0.001332,0.001624
10201,0.001480,0.001375,0.001608
10401,0.001379,0.001392,0.001725
10601,0.001490,0.001712,0.001974
10801,0.001682,0.001676,0.001905
11001,0.001638,0.001557,0.001919
11201,0.001587,0.001529,0.001854
11401,0.001597,0.001599,0.001959
11601,0.001634,0.001637,0.001922
11801,0.001708,0.001586,0.001958
12001,0.001788,0.001684,0.002057
12201,0.001700,0.001674,0.002067
12401,0.001757,0.001688,0.002079
12601,0.001736,0.001803,0.002130
12801,0.001765,0.001726,0.002141
13001,0.001820,0.001763,0.002192
13201,0.001818,0.001793,0.002193
13401,0.001800,0.001779,0.002255
13601,0.001882,0.001928,0.002254
13801,0.001904,0.001908,0.002337
14001,0.001974,0.001978,0.002389
14201,0.002033,0.001966,0.002374
14401,0.002055,0.001972,0.002452
14601,0.002071,0.002021,0.002470
14801,0.002161,0.002094,0.002501
15001,0.002102,0.002055,0.002593
15201,0.002278,0.002174,0.002607
15401,0.002183,0.002069,0.002625
15601,0.002190,0.002126,0.002651
15801,0.002268,0.002237,0.002688
16001,0.002308,0.002265,0.002745
16201,0.002276,0.002222,0.002806
16401,0.002312,0.002295,0.002821
16601,0.002360,0.002377,0.002889
16801,0.002384,0.002307,0.002875
17001,0.002399,0.002258,0.002890
17201,0.002519,0.002393,0.002963
17401,0.002486,0.002318,0.002992
17601,0.002667,0.002467,0.002988
17801,0.002540,0.002438,0.003092
18001,0.002614,0.002494,0.003049
18201,0.002635,0.002441,0.003096
18401,0.002655,0.002622,0.003239
18601,0.002646,0.002506,0.003254
18801,0.002813,0.002521,0.003222
19001,0.002734,0.002591,0.003268
19201,0.002742,0.002711,0.003308
19401,0.002749,0.002666,0.003305
19601,0.002769,0.002787,0.003390
19801,0.002837,0.002760,0.003449
20001,0.002890,0.002731,0.003509
20201,0.002932,0.002930,0.003470
20401,0.003606,0.002849,0.003560
20601,0.002993,0.002987,0.003601
20801,0.003011,0.002915,0.003466
21001,0.002654,0.002829,0.003324
21201,0.002926,0.002729,0.003576
21401,0.003014,0.002894,0.003567
21601,0.003106,0.003077,0.003710
21801,0.003205,0.003002,0.003801
22001,0.003163,0.003047,0.003820
22201,0.002894,0.002854,0.003492
22401,0.003167,0.003014,0.003860
22601,0.003379,0.003255,0.004001
22801,0.003479,0.003131,0.004088
23001,0.003371,0.003475,0.003891
23201,0.003233,0.003234,0.004216
23401,0.003549,0.003382,0.004162
23601,0.003538,0.003423,0.004146
23801,0.003546,0.003456,0.004169
24001,0.003287,0.003242,0.004236
24201,0.003746,0.003686,0.004349
24401,0.003711,0.003496,0.004051
24601,0.003105,0.003021,0.004056
24801,0.003529,0.003575,0.003986
25001,0.003379,0.003488,0.004403
25201,0.003645,0.003755,0.004446
25401,0.003948,0.003594,0.004429
25601,0.003673,0.003657,0.004575
25801,0.003882,0.003731,0.004612
26001,0.003798,0.003825,0.004672
26201,0.003927,0.003814,0.004686
26401,0.003976,0.003659,0.004662
26601,0.003939,0.003721,0.004631
26801,0.003998,0.003856,0.004695
27001,0.004018,0.003846,0.004807
27201,0.004115,0.003870,0.004856
27401,0.004220,0.003888,0.004892
27601,0.003939,0.003939,0.005210
27801,0.004126,0.003922,0.004943
28001,0.004173,0.003929,0.005039
28201,0.004194,0.003975,0.004990
28401,0.004252,0.004062,0.005090
28601,0.004186,0.004188,0.005153
28801,0.004315,0.004007,0.005177
29001,0.004417,0.004195,0.005197
29201,0.004289,0.004114,0.005225
29401,0.004442,0.004240,0.005303
29601,0.004498,0.004394,0.005361
29801,0.004380,0.004292,0.005372
