n,Ordered,Reversed,Randomized
1,0,0,0
201,200,20100,10069
401,400,80200,38695
601,600,180300,91981
801,800,320400,160814
1001,1000,500500,253806
1201,1200,720600,362779
1401,1400,980700,496299
1601,1600,1280800,641930
1801,1800,1620900,813620
2001,2000,2001000,1003105
2201,2200,2421100,1210312
2401,2400,2881200,1431436
2601,2600,3381300,1687104
2801,2800,3921400,1965360
3001,3000,4501500,2271911
3201,3200,5121600,2567598
3401,3400,5781700,2920737
3601,3600,6481800,3232626
3801,3800,7221900,3623385
4001,4000,8002000,4005739
4201,4200,8822100,4395563
4401,4400,9682200,4836510
4601,4600,10582300,5326443
4801,4800,11522400,5787633
5001,5000,12502500,6282543
5201,5200,13522600,6794193
5401,5400,14582700,7246172
5601,5600,15682800,7838567
5801,5800,16822900,8414085
6001,6000,18003000,8971477
6201,6200,19223100,9585936
6401,6400,20483200,10196649
6601,6600,21783300,10876940
6801,6800,23123400,11528254
7001,7000,24503500,12270304
7201,7200,25923600,13016817
7401,7400,27383700,13724383
7601,7600,28883800,14527730
7801,7800,30423900,15200171
8001,8000,32004000,15987770
8201,8200,33624100,16771896
8401,8400,35284200,17629417
8601,8600,36984300,18568777
8801,8800,38724400,19312291
9001,9000,40504500,20333139
9201,9200,42324600,21121525
9401,9400,44184700,22105166
9601,9600,46084800,23020619
9801,9800,48024900,24043324
10001,10000,50005000,25105900
10201,10200,52025100,25947536
10401,10400,54085200,27105726
10601,10600,56185300,28070579
10801,10800,58325400,29345406
11001,11000,60505500,30420976
11201,11200,62725600,31448565
11401,11400,64985700,32328076
11601,11600,67285800,33699044
11801,11800,69625900,34841901
12001,12000,72006000,36038511
12201,12200,74426100,37204496
12401,12400,76886200,38411011
12601,12600,79386300,39768335
12801,12800,81926400,41130545
13001,13000,84506500,42204936
13201,13200,87126600,43578600
13401,13400,89786700,45088815
13601,13600,92486800,46039224
13801,13800,95226900,47686453
14001,14000,98007000,49174473
14201,14200,100827100,50468235
14401,14400,103687200,51765057
14601,14600,106587300,53230527
14801,14800,109527400,54652385
15001,15000,112507500,56351107
15201,15200,115527600,57838662
15401,15400,118587700,59170755
15601,15600,121687800,60937718
15801,15800,124827900,62377406
16001,16000,128008000,63856758
16201,16200,131228100,65581304
16401,16400,134488200,67010458
16601,16600,137788300,68962635
16801,16800,141128400,70590990
17001,17000,144508500,72006912
17201,17200,147928600,74005594
17401,17400,151388700,75882774
17601,17600,154888800,77472996
17801,17800,158428900,79252104
18001,18000,162009000,81154142
18201,18200,165629100,82762974
18401,18400,169289200,84754457
18601,18600,172989300,86491139
18801,18800,176729400,87978309
19001,19000,180509500,90203303
19201,19200,184329600,92353103
19401,19400,188189700,94057306
19601,19600,192089800,96151868
19801,19800,196029900,97840482
20001,20000,200010000,99870252
20201,20200,204030100,101845468
20401,20400,208090200,104079334
20601,20600,212190300,106254833
20801,20800,216330400,108252808
21001,21000,220510500,110343852
21201,21200,224730600,112251278
21401,21400,228990700,113971376
21601,21600,233290800,116929921
21801,21800,237630900,118697355
22001,22000,242011000,120905163
22201,22200,246431100,123453536
22401,22400,250891200,125198738
22601,22600,255391300,127982478
22801,22800,259931400,130063978
23001,23000,264511500,132444358
23201,23200,269131600,134461221
23401,23400,273791700,137459405
23601,23600,278491800,138782206
23801,23800,283231900,142060007
24001,24000,288012000,143973375
24201,24200,292832100,146176142
24401,24400,297692200,148289539
24601,24600,302592300,151783805
24801,24800,307532400,154187427
25001,25000,312512500,156283306
25201,25200,317532600,159172359
25401,25400,322592700,160961874
25601,25600,327692800,163319831
25801,25800,332832900,166238640
26001,26000,338013000,168903154
26201,26200,343233100,171310878
26401,26400,348493200,174137066
26601,26600,353793300,176728507
26801,26800,359133400,179538721
27001,27000,364513500,182075242
27201,27200,369933600,185044328
27401,27400,375393700,188199924
27601,27600,380893800,189901095
27801,27800,386433900,193331615
28001,28000,392014000,195865306
28201,28200,397634100,198315518
28401,28400,403294200,201851448
28601,28600,408994300,204509229
28801,28800,414734400,207771089
29001,29000,420514500,211188345
29201,29200,426334600,212920733
29401,29400,432194700,216604927
29601,29600,438094800,218717908
29801,29800,444034900,222427733
