n,Ordered,Reversed,Randomized
1,0,0,0
201,0,20300,10068
401,0,80600,38694
601,0,180900,91979
801,0,321200,160812
1001,0,501500,253806
1201,0,721800,362778
1401,0,982100,496297
1601,0,1282400,641929
1801,0,1622700,813620
2001,0,2003000,1003103
2201,0,2423300,1210312
2401,0,2883600,1431431
2601,0,3383900,1687100
2801,0,3924200,1965361
3001,0,4504500,2271910
3201,0,5124800,2567595
3401,0,5785100,2920740
3601,0,6485400,3232626
3801,0,7225700,3623385
4001,0,8006000,4005738
4201,0,8826300,4395565
4401,0,9686600,4836508
4601,0,10586900,5326441
4801,0,11527200,5787631
5001,0,12507500,6282542
5201,0,13527800,6794193
5401,0,14588100,7246171
5601,0,15688400,7838566
5801,0,16828700,8414081
6001,0,18009000,8971476
6201,0,19229300,9585938
6401,0,20489600,10196646
6601,0,21789900,10876940
6801,0,23130200,11528250
7001,0,24510500,12270309
7201,0,25930800,13016818
7401,0,27391100,13724381
7601,0,28891400,14527729
7801,0,30431700,15200171
8001,0,32012000,15987769
8201,0,33632300,16771894
8401,0,35292600,17629414
8601,0,36992900,18568776
8801,0,38733200,19312289
9001,0,40513500,20333139
9201,0,42333800,21121524
9401,0,44194100,22105166
9601,0,46094400,23020617
9801,0,48034700,24043324
10001,0,50015000,25105899
10201,0,52035300,25947535
10401,0,54095600,27105728
10601,0,56195900,28070580
10801,0,58336200,29345404
11001,0,60516500,30420975
11201,0,62736800,31448564
11401,0,64997100,32328081
11601,0,67297400,33699045
11801,0,69637700,34841897
12001,0,72018000,36038510
12201,0,74438300,37204495
12401,0,76898600,38411009
12601,0,79398900,39768337
12801,0,81939200,41130542
13001,0,84519500,42204932
13201,0,87139800,43578600
13401,0,89800100,45088816
13601,0,92500400,46039221
13801,0,95240700,47686455
14001,0,98021000,49174469
14201,0,100841300,50468232
14401,0,103701600,51765055
14601,0,106601900,53230529
14801,0,109542200,54652385
15001,0,112522500,56351101
15201,0,115542800,57838662
15401,0,118603100,59170755
15601,0,121703400,60937718
15801,0,124843700,62377404
16001,0,128024000,63856753
16201,0,131244300,65581306
16401,0,134504600,67010457
16601,0,137804900,68962635
16801,0,141145200,70590988
17001,0,144525500,72006912
17201,0,147945800,74005593
17401,0,151406100,75882772
17601,0,154906400,77472995
17801,0,158446700,79252103
18001,0,162027000,81154144
18201,0,165647300,82762972
18401,0,169307600,84754459
18601,0,173007900,86491138
18801,0,176748200,87978307
19001,0,180528500,90203303
19201,0,184348800,92353103
19401,0,188209100,94057304
19601,0,192109400,96151869
19801,0,196049700,97840478
20001,0,200030000,99870248
20201,0,204050300,101845465
20401,0,208110600,104079333
20601,0,212210900,106254829
20801,0,216351200,108252806
21001,0,220531500,110343849
21201,0,224751800,112251274
21401,0,229012100,113971377
21601,0,233312400,116929918
21801,0,237652700,118697355
22001,0,242033000,120905161
22201,0,246453300,123453536
22401,0,250913600,125198733
22601,0,255413900,127982475
22801,0,259954200,130063977
23001,0,264534500,132444355
23201,0,269154800,134461221
23401,0,273815100,137459404
23601,0,278515400,138782205
23801,0,283255700,142060007
24001,0,288036000,143973374
24201,0,292856300,146176142
24401,0,297716600,148289537
24601,0,302616900,151783804
24801,0,307557200,154187426
25001,0,312537500,156283305
25201,0,317557800,159172357
25401,0,322618100,160961873
25601,0,327718400,163319827
25801,0,332858700,166238639
26001,0,338039000,168903151
26201,0,343259300,171310874
26401,0,348519600,174137066
26601,0,353819900,176728505
26801,0,359160200,179538721
27001,0,364540500,182075242
27201,0,369960800,185044327
27401,0,375421100,188199922
27601,0,380921400,189901096
27801,0,386461700,193331614
28001,0,392042000,195865304
28201,0,397662300,198315513
28401,0,403322600,201851448
28601,0,409022900,204509226
28801,0,414763200,207771088
29001,0,420543500,211188345
29201,0,426363800,212920732
29401,0,432224100,216604926
29601,0,438124400,218717905
29801,0,444064700,222427732
