n,Ordered,Reversed,Randomized
1,0.000000,0.000000,0.000000
201,0.000001,0.000061,0.000029
401,0.000002,0.000187,0.000093
601,0.000002,0.000410,0.000216
801,0.000003,0.000746,0.000391
1001,0.000003,0.001151,0.000602
1201,0.000003,0.001658,0.000844
1401,0.000004,0.002269,0.001167
1601,0.000004,0.002951,0.001498
1801,0.000005,0.003844,0.001880
2001,0.000005,0.004633,0.002305
2201,0.000005,0.005549,0.002789
2401,0.000007,0.006919,0.003326
2601,0.000006,0.007706,0.003917
2801,0.000007,0.008966,0.004536
3001,0.000008,0.010305,0.005255
3201,0.000008,0.011785,0.006386
3401,0.000009,0.015586,0.007121
3601,0.000010,0.015081,0.007455
3801,0.000010,0.016389,0.008265
4001,0.000011,0.018154,0.009217
4201,0.000011,0.020555,0.010151
4401,0.000011,0.021964,0.011111
4601,0.000012,0.024179,0.012205
4801,0.000013,0.026261,0.013496
5001,0.000012,0.028142,0.014393
5201,0.000013,0.030649,0.015490
5401,0.000014,0.032948,0.015989
5601,0.000013,0.035751,0.017551
5801,0.000015,0.035998,0.019096
6001,0.000015,0.040858,0.020456
6201,0.000016,0.043390,0.021783
6401,0.000017,0.046216,0.023207
6601,0.000017,0.049191,0.024789
6801,0.000017,0.052033,0.026254
7001,0.000018,0.055580,0.028143
7201,0.000018,0.058192,0.029478
7401,0.000019,0.061517,0.032024
7601,0.000020,0.067346,0.034292
7801,0.000020,0.071735,0.035368
8001,0.000021,0.073799,0.036667
8201,0.000020,0.075422,0.036575
8401,0.000021,0.079241,0.040467
8601,0.000022,0.084175,0.042557
8801,0.000022,0.084224,0.043903
9001,0.000024,0.091546,0.046682
9201,0.000035,0.098885,0.048175
9401,0.000024,0.100359,0.050227
9601,0.000024,0.104297,0.052410
9801,0.000025,0.108595,0.054677
10001,0.000026,0.113344,0.056992
10201,0.000026,0.117412,0.058763
10401,0.000026,0.121609,0.061157
10601,0.000027,0.126551,0.063336
10801,0.000027,0.131420,0.066190
11001,0.000027,0.136219,0.068692
11201,0.000029,0.141414,0.070986
11401,0.000028,0.146371,0.072986
11601,0.000029,0.152369,0.076458
11801,0.000027,0.157344,0.079106
12001,0.000030,0.162634,0.081408
12201,0.000031,0.168251,0.084278
12401,0.000034,0.173155,0.087060
12601,0.000031,0.179180,0.090062
12801,0.000033,0.185468,0.092803
13001,0.000032,0.183345,0.092590
13201,0.000034,0.197940,0.098960
13401,0.000035,0.202412,0.101625
13601,0.000035,0.207403,0.103604
13801,0.000036,0.213887,0.107162
14001,0.000035,0.220569,0.107519
14201,0.000035,0.217794,0.113188
14401,0.000037,0.232911,0.116620
14601,0.000036,0.239751,0.119744
14801,0.000038,0.245649,0.123008
15001,0.000038,0.252953,0.126842
15201,0.000039,0.259292,0.130161
15401,0.000040,0.266732,0.133740
15601,0.000039,0.274033,0.137200
15801,0.000041,0.281261,0.137653
16001,0.000040,0.284476,0.142661
16201,0.000041,0.293681,0.145919
16401,0.000041,0.298352,0.148622
16601,0.000041,0.306320,0.153146
16801,0.000043,0.314439,0.157608
17001,0.000046,0.317698,0.166484
17201,0.000046,0.339523,0.168507
17401,0.000045,0.340387,0.169764
17601,0.000046,0.338988,0.173629
17801,0.000044,0.354695,0.175994
18001,0.000046,0.363662,0.181935
18201,0.000046,0.371746,0.184883
18401,0.000046,0.377360,0.189007
18601,0.000047,0.390594,0.195564
18801,0.000050,0.395453,0.196262
19001,0.000047,0.402162,0.200789
19201,0.000048,0.411023,0.204994
19401,0.000049,0.419523,0.208689
19601,0.000050,0.433364,0.217338
19801,0.000050,0.445890,0.219492
20001,0.000050,0.447599,0.222232
20201,0.000050,0.454269,0.227066
20401,0.000051,0.465342,0.231492
20601,0.000052,0.474282,0.236192
20801,0.000052,0.472211,0.242504
21001,0.000053,0.499945,0.247707
21201,0.000054,0.489814,0.264235
21401,0.000059,0.523889,0.259807
21601,0.000058,0.526729,0.263905
21801,0.000056,0.553684,0.276350
22001,0.000055,0.549569,0.276731
22201,0.000056,0.560463,0.281193
22401,0.000057,0.577693,0.284204
22601,0.000059,0.587078,0.286645
22801,0.000057,0.593522,0.289817
23001,0.000058,0.586784,0.297021
23201,0.000060,0.611497,0.302212
23401,0.000059,0.624264,0.322230
23601,0.000064,0.685199,0.327150
23801,0.000059,0.643808,0.328177
24001,0.000060,0.655770,0.331994
24201,0.000063,0.666832,0.330068
24401,0.000062,0.682497,0.335660
24601,0.000061,0.686426,0.345878
24801,0.000064,0.704812,0.354228
25001,0.000065,0.720761,0.356088
25201,0.000063,0.713374,0.357647
25401,0.000063,0.726176,0.362009
25601,0.000064,0.737201,0.365539
25801,0.000065,0.751931,0.375061
26001,0.000067,0.765106,0.377274
26201,0.000066,0.780154,0.387371
26401,0.000066,0.780489,0.392337
26601,0.000066,0.797079,0.399009
26801,0.000067,0.810052,0.402308
27001,0.000070,0.818258,0.408640
27201,0.000069,0.827756,0.414258
27401,0.000069,0.835575,0.426163
27601,0.000069,0.860766,0.429694
27801,0.000072,0.893814,0.439727
28001,0.000072,0.892146,0.438340
28201,0.000072,0.896851,0.448179
28401,0.000072,0.919436,0.455049
28601,0.000075,0.938188,0.458854
28801,0.000072,0.945787,0.469612
29001,0.000073,0.953784,0.474962
29201,0.000073,0.960501,0.480508
29401,0.000075,0.977729,0.483452
29601,0.000074,0.980856,0.487600
29801,0.000074,0.992182,0.494702
