n,Ordered,Reversed,Randomized
1,0,0,0
201,1553,1553,1553
401,3498,3498,3498
601,5587,5587,5587
801,7787,7787,7787
1001,9987,9987,9987
1201,12364,12364,12364
1401,14764,14764,14764
1601,17164,17164,17164
1801,19564,19564,19564
2001,21964,21964,21964
2201,24517,24517,24517
2401,27117,27117,27117
2601,29717,29717,29717
2801,32317,32317,32317
3001,34917,34917,34917
3201,37517,37517,37517
3401,40117,40117,40117
3601,42717,42717,42717
3801,45317,45317,45317
4001,47917,47917,47917
4201,50622,50622,50622
4401,53422,53422,53422
4601,56222,56222,56222
4801,59022,59022,59022
5001,61822,61822,61822
5201,64622,64622,64622
5401,67422,67422,67422
5601,70222,70222,70222
5801,73022,73022,73022
6001,75822,75822,75822
6201,78622,78622,78622
6401,81422,81422,81422
6601,84222,84222,84222
6801,87022,87022,87022
7001,89822,89822,89822
7201,92622,92622,92622
7401,95422,95422,95422
7601,98222,98222,98222
7801,101022,101022,101022
8001,103822,103822,103822
8201,106631,106631,106631
8401,109631,109631,109631
8601,112631,112631,112631
8801,115631,115631,115631
9001,118631,118631,118631
9201,121631,121631,121631
9401,124631,124631,124631
9601,127631,127631,127631
9801,130631,130631,130631
10001,133631,133631,133631
10201,136631,136631,136631
10401,139631,139631,139631
10601,142631,142631,142631
10801,145631,145631,145631
11001,148631,148631,148631
11201,151631,151631,151631
11401,154631,154631,154631
11601,157631,157631,157631
11801,160631,160631,160631
12001,163631,163631,163631
12201,166631,166631,166631
12401,169631,169631,169631
12601,172631,172631,172631
12801,175631,175631,175631
13001,178631,178631,178631
13201,181631,181631,181631
13401,184631,184631,184631
13601,187631,187631,187631
13801,190631,190631,190631
14001,193631,193631,193631
14201,196631,196631,196631
14401,199631,199631,199631
14601,202631,202631,202631
14801,205631,205631,205631
15001,208631,208631,208631
15201,211631,211631,211631
15401,214631,214631,214631
15601,217631,217631,217631
15801,220631,220631,220631
16001,223631,223631,223631
16201,226631,226631,226631
16401,229648,229648,229648
16601,232848,232848,232848
16801,236048,236048,236048
17001,239248,239248,239248
17201,242448,242448,242448
17401,245648,245648,245648
17601,248848,248848,248848
17801,252048,252048,252048
18001,255248,255248,255248
18201,258448,258448,258448
18401,261648,261648,261648
18601,264848,264848,264848
18801,268048,268048,268048
19001,271248,271248,271248
19201,274448,274448,274448
19401,277648,277648,277648
19601,280848,280848,280848
19801,284048,284048,284048
20001,287248,287248,287248
20201,290448,290448,290448
20401,293648,293648,293648
20601,296848,296848,296848
20801,300048,300048,300048
21001,303248,303248,303248
21201,306448,306448,306448
21401,309648,309648,309648
21601,312848,312848,312848
21801,316048,316048,316048
22001,319248,319248,319248
22201,322448,322448,322448
22401,325648,325648,325648
22601,328848,328848,328848
22801,332048,332048,332048
23001,335248,335248,335248
23201,338448,338448,338448
23401,341648,341648,341648
23601,344848,344848,344848
23801,348048,348048,348048
24001,351248,351248,351248
24201,354448,354448,354448
24401,357648,357648,357648
24601,360848,360848,360848
24801,364048,364048,364048
25001,367248,367248,367248
25201,370448,370448,370448
25401,373648,373648,373648
25601,376848,376848,376848
25801,380048,380048,380048
26001,383248,383248,383248
26201,386448,386448,386448
26401,389648,389648,389648
26601,392848,392848,392848
26801,396048,396048,396048
27001,399248,399248,399248
27201,402448,402448,402448
27401,405648,405648,405648
27601,408848,408848,408848
27801,412048,412048,412048
28001,415248,415248,415248
28201,418448,418448,418448
28401,421648,421648,421648
28601,424848,424848,424848
28801,428048,428048,428048
29001,431248,431248,431248
29201,434448,434448,434448
29401,437648,437648,437648
29601,440848,440848,440848
29801,444048,444048,444048
