n,Ordered,Reversed,Randomized
1,0,0,0
201,0,735,622
401,0,1667,1444
601,0,2664,2339
801,0,3731,3283
1001,0,4938,4310
1201,0,5924,5262
1401,0,7050,6302
1601,0,8259,7372
1801,0,9512,8487
2001,0,10870,9637
2201,0,11944,10644
2401,0,13044,11708
2601,0,14264,12841
2801,0,15494,13963
3001,0,16835,15170
3201,0,18115,16352
3401,0,19377,17482
3601,0,20820,18721
3801,0,22195,19953
4001,0,23734,21245
4201,0,25016,22435
4401,0,26084,23485
4601,0,27331,24712
4801,0,28484,25828
5001,0,29809,27048
5201,0,31124,28281
5401,0,32385,29522
5601,0,33782,30797
5801,0,35146,32030
6001,0,36663,33377
6201,0,38161,34762
6401,0,39427,35883
6601,0,40762,37145
6801,0,42149,38352
7001,0,43635,39675
7201,0,45236,41056
7401,0,46643,42267
7601,0,48183,43650
7801,0,49788,45123
8001,0,51462,46479
8201,0,53270,48092
8401,0,54228,49062
8601,0,55361,50199
8801,0,56564,51456
9001,0,57825,52665
9201,0,59255,54043
9401,0,60426,55209
9601,0,61764,56443
9801,0,63153,57773
10001,0,64613,59148
10201,0,66188,60652
10401,0,67444,61827
10601,0,68746,63019
10801,0,70165,64355
11001,0,71612,65764
11201,0,73158,67114
11401,0,74609,68463
11601,0,76086,69810
11801,0,77722,71360
12001,0,79319,72754
12201,0,81052,74296
12401,0,82517,75740
12601,0,83786,76811
12801,0,85251,78213
13001,0,86586,79425
13201,0,88118,80733
13401,0,89626,82173
13601,0,91093,83447
13801,0,92700,84922
14001,0,94263,86389
14201,0,95989,87885
14401,0,97668,89406
14601,0,99121,90643
14801,0,100679,92026
15001,0,102259,93399
15201,0,103959,94921
15401,0,105738,96481
15601,0,107368,97960
15801,0,109109,99421
16001,0,110918,101076
16201,0,112780,102609
16401,0,114738,104414
16601,0,115713,105400
16801,0,116852,106534
17001,0,118049,107737
17201,0,119317,108971
17401,0,120764,110436
17601,0,121924,111553
17801,0,123249,112876
18001,0,124645,114236
18201,0,126106,115705
18401,0,127703,117361
18601,0,128929,118434
18801,0,130246,119675
19001,0,131658,121101
19201,0,133124,122523
19401,0,134659,123888
19601,0,136101,125321
19801,0,137587,126816
20001,0,139221,128287
20201,0,140828,129854
20401,0,142568,131476
20601,0,144010,132852
20801,0,145284,133978
21001,0,146728,135353
21201,0,148086,136707
21401,0,149619,138143
21601,0,151125,139550
21801,0,152586,140961
22001,0,154216,142472
22201,0,155772,143835
22401,0,157510,145428
22601,0,159153,147017
22801,0,160613,148362
23001,0,162188,149749
23201,0,163766,151180
23401,0,165468,152881
23601,0,167238,154470
23801,0,168885,155950
24001,0,170631,157538
24201,0,172419,159160
24401,0,174296,160877
24601,0,176232,162534
24801,0,177429,163920
25001,0,178762,164947
25201,0,180166,166263
25401,0,181635,167538
25601,0,183299,169119
25801,0,184634,170333
26001,0,186166,171749
26201,0,187763,173218
26401,0,189430,174802
26601,0,191237,176448
26801,0,192646,177760
27001,0,194172,179186
27201,0,195781,180566
27401,0,197434,182072
27601,0,199192,183706
27801,0,200819,185021
28001,0,202519,186755
28201,0,204339,188364
28401,0,206169,189958
28601,0,208110,191743
28801,0,209732,193184
29001,0,211194,194484
29201,0,212837,195972
29401,0,214412,197340
29601,0,216151,198910
29801,0,217843,200380
