n,Ordered,Reversed,Randomized
1,0.000000,0.000000,0.000000
201,0.000012,0.000011,0.000021
401,0.000023,0.000024,0.000035
601,0.000037,0.000037,0.000054
801,0.000051,0.000051,0.000074
1001,0.000063,0.000064,0.000094
1201,0.000081,0.000077,0.000117
1401,0.000090,0.000091,0.000138
1601,0.000105,0.000102,0.000158
1801,0.000122,0.000118,0.000181
2001,0.000136,0.000139,0.000209
2201,0.000153,0.000150,0.000232
2401,0.000165,0.000166,0.000251
2601,0.000177,0.000180,0.000273
2801,0.000191,0.000190,0.000293
3001,0.000201,0.000201,0.000315
3201,0.000220,0.000215,0.000341
3401,0.000241,0.000239,0.000367
3601,0.000254,0.000257,0.000386
3801,0.000261,0.000274,0.000420
4001,0.000288,0.000290,0.000440
4201,0.000296,0.000299,0.000466
4401,0.000319,0.000311,0.000488
4601,0.000341,0.000337,0.000518
4801,0.000346,0.000341,0.000533
5001,0.000362,0.000364,0.000561
5201,0.000374,0.000374,0.000588
5401,0.000406,0.000395,0.000620
5601,0.000410,0.000411,0.000632
5801,0.000425,0.000428,0.000659
6001,0.000435,0.000436,0.000684
6201,0.000454,0.000461,0.000705
6401,0.000492,0.000476,0.000731
6601,0.000488,0.000498,0.000766
6801,0.000508,0.000508,0.000784
7001,0.000513,0.000527,0.000811
7201,0.000542,0.000542,0.000831
7401,0.000548,0.000567,0.000865
7601,0.000578,0.000565,0.000878
7801,0.000579,0.000591,0.000915
8001,0.000616,0.000615,0.000936
8201,0.000606,0.000626,0.000973
8401,0.000634,0.000642,0.000989
8601,0.000646,0.000641,0.001017
8801,0.000675,0.000682,0.001041
9001,0.000672,0.000695,0.001071
9201,0.000710,0.000709,0.001104
9401,0.000714,0.000720,0.001125
9601,0.000734,0.000730,0.001147
9801,0.000769,0.000753,0.001170
10001,0.000782,0.000771,0.001193
10201,0.000765,0.000773,0.001217
10401,0.000815,0.000805,0.001703
10601,0.000777,0.000808,0.001316
10801,0.000841,0.000854,0.001389
11001,0.000961,0.000953,0.001427
11201,0.000878,0.000868,0.001360
11401,0.000883,0.000885,0.001423
11601,0.001072,0.000938,0.001471
11801,0.000961,0.000962,0.001462
12001,0.000951,0.000956,0.001494
12201,0.000986,0.000961,0.001517
12401,0.000975,0.001002,0.001518
12601,0.001016,0.001018,0.001585
12801,0.001029,0.001043,0.001582
13001,0.001017,0.001006,0.001615
13201,0.001021,0.001003,0.001649
13401,0.001071,0.001106,0.001657
13601,0.001089,0.001132,0.001701
13801,0.001120,0.001113,0.001731
14001,0.001120,0.001107,0.001783
14201,0.001165,0.001577,0.001840
14401,0.001171,0.001169,0.001836
14601,0.001194,0.001211,0.001853
14801,0.001209,0.001219,0.001879
15001,0.001223,0.001227,0.001903
15201,0.001233,0.001259,0.001931
15401,0.001230,0.001276,0.001933
15601,0.001266,0.001301,0.001957
15801,0.001261,0.001285,0.001975
16001,0.001311,0.001294,0.001999
16201,0.001277,0.001365,0.002054
16401,0.001293,0.001327,0.002076
16601,0.001370,0.001815,0.002161
16801,0.001325,0.001363,0.002108
17001,0.001419,0.001395,0.002187
17201,0.001349,0.001404,0.002205
17401,0.001409,0.001423,0.002209
17601,0.001400,0.001409,0.002226
17801,0.001410,0.001445,0.002273
18001,0.001413,0.001477,0.002305
18201,0.001492,0.001506,0.002315
18401,0.001475,0.001502,0.002320
18601,0.001517,0.001514,0.002351
18801,0.001553,0.001523,0.002416
19001,0.001535,0.001549,0.002449
19201,0.001589,0.001578,0.002440
19401,0.001548,0.001601,0.002500
19601,0.001592,0.001622,0.002505
19801,0.001610,0.001620,0.002554
20001,0.001675,0.001729,0.002566
20201,0.001620,0.001660,0.002598
20401,0.001685,0.001710,0.002595
20601,0.001685,0.001678,0.002638
20801,0.001687,0.001759,0.002683
21001,0.001683,0.001725,0.002738
21201,0.001731,0.001827,0.002775
21401,0.001814,0.001693,0.002844
21601,0.001636,0.001588,0.002447
21801,0.001631,0.001607,0.002591
22001,0.001765,0.001761,0.002774
22201,0.001759,0.001783,0.002806
22401,0.001821,0.001863,0.002889
22601,0.001858,0.001995,0.002944
22801,0.001882,0.001905,0.002958
23001,0.001897,0.001928,0.003034
23201,0.001899,0.001883,0.003083
23401,0.001925,0.002082,0.003085
23601,0.001990,0.002019,0.003117
23801,0.002020,0.002026,0.003158
24001,0.002015,0.002063,0.003179
24201,0.002189,0.002024,0.002916
24401,0.001832,0.001929,0.002999
24601,0.001965,0.001963,0.003127
24801,0.002000,0.002146,0.003168
25001,0.002094,0.002091,0.003220
25201,0.002076,0.002088,0.003294
25401,0.002120,0.002184,0.003333
25601,0.002119,0.002147,0.003353
25801,0.002158,0.002144,0.003429
26001,0.002142,0.002224,0.003486
26201,0.002244,0.002280,0.003474
26401,0.002316,0.002206,0.003491
26601,0.002187,0.002277,0.003513
26801,0.002238,0.002408,0.003546
27001,0.002288,0.002595,0.003582
27201,0.002313,0.002343,0.003642
27401,0.002367,0.002412,0.003784
27601,0.002480,0.002429,0.003767
27801,0.002320,0.002387,0.003710
28001,0.002428,0.002377,0.003707
28201,0.002446,0.002474,0.003768
28401,0.002444,0.002451,0.003786
28601,0.002510,0.002473,0.003923
28801,0.002490,0.002517,0.004011
29001,0.002596,0.002581,0.003935
29201,0.002502,0.002557,0.003906
29401,0.002548,0.002598,0.004012
29601,0.002528,0.002516,0.003993
29801,0.002490,0.002571,0.004022
