n,Ordered,Reversed,Randomized
1,4,4,4
201,1668,1678,2344
401,3726,3738,5247
601,5776,5798,8151
801,8240,8254,11267
1001,10040,10054,15137
1201,12730,12754,18173
1401,15530,15554,21352
1601,18066,18082,25132
1801,20066,20082,28291
2001,22066,22082,31360
2201,24836,24862,35665
2401,27836,27862,38271
2601,30836,30862,42318
2801,33836,33862,46337
3001,36836,36862,50548
3201,39316,39334,54032
3401,41516,41534,56787
3601,43716,43734,61093
3801,45916,45934,64062
4001,48116,48134,68506
4201,50846,50874,73286
4401,54046,54074,76956
4601,57246,57274,79274
4801,60446,60474,82437
5001,63646,63674,87443
5201,66846,66874,92015
5401,70046,70074,96408
5601,73246,73274,98278
5801,76446,76474,103791
6001,79646,79674,108601
6201,82614,82634,112481
6401,85014,85034,117023
6601,87414,87434,120014
6801,89814,89834,121668
7001,92214,92234,128285
7201,94614,94634,133089
7401,97014,97034,136598
7601,99414,99434,138281
7801,101814,101834,142180
8001,104214,104234,146987
8201,106664,106694,152732
8401,110064,110094,158426
8601,113464,113494,160300
8801,116864,116894,167147
9001,120264,120294,167391
9201,123664,123694,174091
9401,127064,127094,172983
9601,130464,130494,179589
9801,133864,133894,186248
10001,137264,137294,191667
10201,140664,140694,193992
10401,144064,144094,198687
10601,147464,147494,203181
10801,150864,150894,208034
11001,154264,154294,208626
11201,157664,157694,217179
11401,161064,161094,218819
11601,164464,164494,220686
11801,167864,167894,225895
12001,171264,171294,230799
12201,174664,174694,232493
12401,177608,177630,239852
12601,180208,180230,243149
12801,182808,182830,244612
13001,185408,185430,250010
13201,188008,188030,252704
13401,190608,190630,261164
13601,193208,193230,265531
13801,195808,195830,267449
14001,198408,198430,278835
14201,201008,201030,272472
14401,203608,203630,280202
14601,206208,206230,285297
14801,208808,208830,291052
15001,211408,211430,293374
15201,214008,214030,297747
15401,216608,216630,305921
15601,219208,219230,306413
15801,221808,221830,306298
16001,224408,224430,321417
16201,227008,227030,321147
16401,229698,229730,325857
16601,233298,233330,325803
16801,236898,236930,334801
17001,240498,240530,338314
17201,244098,244130,348240
17401,247698,247730,345770
17601,251298,251330,348359
17801,254898,254930,353031
18001,258498,258530,358803
18201,262098,262130,366072
18401,265698,265730,372365
18601,269298,269330,370185
18801,272898,272930,375498
19001,276498,276530,376431
19201,280098,280130,385941
19401,283698,283730,386539
19601,287298,287330,388889
19801,290898,290930,403645
20001,294498,294530,398398
20201,298098,298130,407723
20401,301698,301730,407911
20601,305298,305330,419821
20801,308898,308930,419215
21001,312498,312530,421964
21201,316098,316130,422815
21401,319698,319730,435881
21601,323298,323330,432140
21801,326898,326930,445269
22001,330498,330530,449441
22201,334098,334130,453919
22401,337698,337730,450525
22601,341298,341330,459106
22801,344898,344930,465616
23001,348498,348530,466978
23201,352098,352130,476733
23401,355698,355730,475336
23601,359298,359330,474481
23801,362898,362930,488208
24001,366498,366530,489768
24201,370098,370130,491155
24401,373698,373730,502769
24601,377194,377218,503247
24801,379994,380018,517311
25001,382794,382818,514636
25201,385594,385618,516945
25401,388394,388418,520164
25601,391194,391218,524366
25801,393994,394018,537598
26001,396794,396818,537393
26201,399594,399618,539991
26401,402394,402418,534835
26601,405194,405218,553086
26801,407994,408018,554139
27001,410794,410818,558014
27201,413594,413618,557725
27401,416394,416418,566150
27601,419194,419218,570517
27801,421994,422018,584037
28001,424794,424818,574980
28201,427594,427618,590349
28401,430394,430418,586871
28601,433194,433218,583451
28801,435994,436018,591699
29001,438794,438818,606655
29201,441594,441618,606913
29401,444394,444418,610744
29601,447194,447218,610663
29801,449994,450018,624195
