n,Ordered,Reversed,Randomized
1,1,1,1
201,127,226,484
401,255,454,1048
601,345,646,1659
801,511,910,2289
1001,511,1010,2912
1201,689,1290,3594
1401,889,1590,4258
1601,1023,1822,4937
1801,1023,1922,5595
2001,1023,2022,6367
2201,1177,2278,7011
2401,1377,2578,7757
2601,1577,2878,8445
2801,1777,3178,9135
3001,1977,3478,9875
3201,2047,3646,10584
3401,2047,3746,11359
3601,2047,3846,12131
3801,2047,3946,12869
4001,2047,4046,13542
4201,2153,4254,14354
4401,2353,4554,15052
4601,2553,4854,15870
4801,2753,5154,16646
5001,2953,5454,17347
5201,3153,5754,18133
5401,3353,6054,18895
5601,3553,6354,19687
5801,3753,6654,20441
6001,3953,6954,21143
6201,4095,7194,21941
6401,4095,7294,22662
6601,4095,7394,23558
6801,4095,7494,24449
7001,4095,7594,25102
7201,4095,7694,25876
7401,4095,7794,26655
7601,4095,7894,27534
7801,4095,7994,28329
8001,4095,8094,29000
8201,4105,8206,29797
8401,4305,8506,30460
8601,4505,8806,31504
8801,4705,9106,32182
9001,4905,9406,33040
9201,5105,9706,33822
9401,5305,10006,34814
9601,5505,10306,35413
9801,5705,10606,36192
10001,5905,10906,36897
10201,6105,11206,37843
10401,6305,11506,38606
10601,6505,11806,39416
10801,6705,12106,40247
11001,6905,12406,41153
11201,7105,12706,41906
11401,7305,13006,42757
11601,7505,13306,43559
11801,7705,13606,44332
12001,7905,13906,45239
12201,8105,14206,46225
12401,8191,14390,46756
12601,8191,14490,47683
12801,8191,14590,48656
13001,8191,14690,49351
13201,8191,14790,50341
13401,8191,14890,50941
13601,8191,14990,51747
13801,8191,15090,52673
14001,8191,15190,53212
14201,8191,15290,54693
14401,8191,15390,55201
14601,8191,15490,55975
14801,8191,15590,56878
15001,8191,15690,57539
15201,8191,15790,58393
15401,8191,15890,59249
15601,8191,15990,60105
15801,8191,16090,61194
16001,8191,16190,61672
16201,8191,16290,62692
16401,8209,16410,63407
16601,8409,16710,64620
16801,8609,17010,65226
17001,8809,17310,66072
17201,9009,17610,66622
17401,9209,17910,67786
17601,9409,18210,68659
17801,9609,18510,69471
18001,9809,18810,70387
18201,10009,19110,70937
18401,10209,19410,71892
18601,10409,19710,73031
18801,10609,20010,73704
19001,10809,20310,74743
19201,11009,20610,75267
19401,11209,20910,76526
19601,11409,21210,77364
19801,11609,21510,77519
20001,11809,21810,79003
20201,12009,22110,79576
20401,12209,22410,80613
20601,12409,22710,81560
20801,12609,23010,82369
21001,12809,23310,83287
21201,13009,23610,84290
21401,13209,23910,84713
21601,13409,24210,85870
21801,13609,24510,86350
22001,13809,24810,87400
22201,14009,25110,88178
22401,14209,25410,89266
22601,14409,25710,90113
22801,14609,26010,90740
23001,14809,26310,91704
23201,15009,26610,92472
23401,15209,26910,93690
23601,15409,27210,94781
23801,15609,27510,94887
24001,15809,27810,96161
24201,16009,28110,97130
24401,16209,28410,97484
24601,16383,28682,98794
24801,16383,28782,99199
25001,16383,28882,100434
25201,16383,28982,101225
25401,16383,29082,102199
25601,16383,29182,103213
25801,16383,29282,103758
26001,16383,29382,104722
26201,16383,29482,105546
26401,16383,29582,107064
26601,16383,29682,107418
26801,16383,29782,108259
27001,16383,29882,109139
27201,16383,29982,110364
27401,16383,30082,111082
27601,16383,30182,111827
27801,16383,30282,112561
28001,16383,30382,113702
28201,16383,30482,114268
28401,16383,30582,115562
28601,16383,30682,116666
28801,16383,30782,117472
29001,16383,30882,117537
29201,16383,30982,118871
29401,16383,31082,119518
29601,16383,31182,120769
29801,16383,31282,121233
