n,Ordered,Reversed,Randomized
1,0.000001,0.000000,0.000000
201,0.000005,0.000004,0.000015
401,0.000009,0.000009,0.000030
601,0.000014,0.000013,0.000046
801,0.000019,0.000019,0.000063
1001,0.000022,0.000023,0.000081
1201,0.000029,0.000028,0.000100
1401,0.000034,0.000036,0.000115
1601,0.000040,0.000041,0.000135
1801,0.000044,0.000044,0.000154
2001,0.000050,0.000047,0.000173
2201,0.000053,0.000054,0.000192
2401,0.000061,0.000061,0.000211
2601,0.000067,0.000068,0.000230
2801,0.000074,0.000075,0.000250
3001,0.000082,0.000084,0.000275
3201,0.000088,0.000090,0.000294
3401,0.000092,0.000092,0.000313
3601,0.000092,0.000099,0.000332
3801,0.000101,0.000100,0.000360
4001,0.000102,0.000106,0.000370
4201,0.000108,0.000112,0.000396
4401,0.000114,0.000117,0.000417
4601,0.000120,0.000121,0.000434
4801,0.000126,0.000132,0.000462
5001,0.000134,0.000140,0.000475
5201,0.000142,0.000144,0.000493
5401,0.000148,0.000152,0.000521
5601,0.000158,0.000162,0.000528
5801,0.000164,0.000166,0.000552
6001,0.000172,0.000180,0.000584
6201,0.000176,0.000180,0.000592
6401,0.000167,0.000164,0.000617
6601,0.000189,0.000191,0.000633
6801,0.000188,0.000191,0.000664
7001,0.000195,0.000199,0.000686
7201,0.000195,0.000199,0.000702
7401,0.000203,0.000208,0.000736
7601,0.000209,0.000211,0.000750
7801,0.000204,0.000209,0.000760
8001,0.000212,0.000220,0.000794
8201,0.000215,0.000227,0.000820
8401,0.000228,0.000230,0.000849
8601,0.000226,0.000231,0.000863
8801,0.000234,0.000241,0.000883
9001,0.000236,0.000250,0.000901
9201,0.000250,0.000258,0.000930
9401,0.000266,0.000263,0.000925
9601,0.000262,0.000271,0.000947
9801,0.000274,0.000282,0.000999
10001,0.000290,0.000300,0.000997
10201,0.000291,0.000296,0.001024
10401,0.000297,0.000304,0.001041
10601,0.000305,0.000311,0.001083
10801,0.000301,0.000321,0.001093
11001,0.000320,0.000338,0.001116
11201,0.000327,0.000339,0.001138
11401,0.000340,0.000355,0.001166
11601,0.000351,0.000357,0.001177
11801,0.000354,0.000370,0.001218
12001,0.000351,0.000371,0.001244
12201,0.000375,0.000390,0.001314
12401,0.000350,0.000386,0.001373
12601,0.000436,0.000442,0.001411
12801,0.000384,0.000403,0.001393
13001,0.000398,0.000396,0.001317
13201,0.000365,0.000370,0.001223
13401,0.000338,0.000355,0.001224
13601,0.000383,0.000407,0.001337
13801,0.000380,0.000398,0.001379
14001,0.000391,0.000399,0.001415
14201,0.000393,0.000412,0.001455
14401,0.000410,0.000420,0.001462
14601,0.000406,0.000418,0.001514
14801,0.000404,0.000428,0.001537
15001,0.000419,0.000442,0.001522
15201,0.000406,0.000438,0.001588
15401,0.000437,0.000455,0.001604
15601,0.000438,0.000461,0.001635
15801,0.000432,0.000460,0.001691
16001,0.000452,0.000468,0.001682
16201,0.000433,0.000460,0.001730
16401,0.000457,0.000475,0.001747
16601,0.000459,0.000487,0.001788
16801,0.000477,0.000487,0.001787
17001,0.000498,0.000513,0.001825
17201,0.000472,0.000506,0.001883
17401,0.000517,0.000512,0.001879
17601,0.000532,0.000547,0.001886
17801,0.000516,0.000547,0.001955
18001,0.000526,0.000516,0.001952
18201,0.000532,0.000547,0.001993
18401,0.000538,0.000555,0.002001
18601,0.000552,0.000568,0.002020
18801,0.000543,0.000582,0.002241
19001,0.000687,0.000760,0.002640
19201,0.000772,0.000806,0.002537
19401,0.000638,0.000677,0.002301
19601,0.000628,0.000654,0.002239
19801,0.000625,0.000643,0.002180
20001,0.000624,0.000637,0.002203
20201,0.000617,0.000639,0.002218
20401,0.000635,0.000659,0.002231
20601,0.000610,0.000655,0.002294
20801,0.000639,0.000670,0.002291
21001,0.000590,0.000645,0.002274
21201,0.000639,0.000676,0.002357
21401,0.000671,0.000674,0.002399
21601,0.000672,0.000707,0.002452
21801,0.000702,0.000719,0.002437
22001,0.000709,0.000720,0.002479
22201,0.000721,0.000738,0.002453
22401,0.000647,0.000668,0.002418
22601,0.000614,0.000640,0.002256
22801,0.000585,0.000635,0.002227
23001,0.000631,0.000689,0.002419
23201,0.000736,0.000770,0.002611
23401,0.000762,0.000809,0.002679
23601,0.000754,0.000809,0.002712
23801,0.000787,0.000801,0.002665
24001,0.000778,0.000818,0.002675
24201,0.000801,0.000831,0.002758
24401,0.000829,0.000868,0.002848
24601,0.000785,0.000832,0.002843
24801,0.000738,0.000767,0.002449
25001,0.000664,0.000860,0.002630
25201,0.000737,0.000789,0.002621
25401,0.000799,0.000831,0.002882
25601,0.000849,0.000835,0.002924
25801,0.000823,0.000857,0.002945
26001,0.000829,0.000874,0.002926
26201,0.000845,0.000903,0.002937
26401,0.000856,0.000890,0.003035
26601,0.000836,0.000928,0.002998
26801,0.000862,0.000892,0.002745
27001,0.000694,0.000752,0.002707
27201,0.000771,0.000855,0.002879
27401,0.000817,0.000840,0.002942
27601,0.000815,0.000844,0.003008
27801,0.000821,0.000863,0.003027
28001,0.000847,0.000935,0.003052
28201,0.000841,0.000882,0.003061
28401,0.000855,0.000849,0.003147
28601,0.000860,0.000907,0.003128
28801,0.000829,0.000888,0.003183
29001,0.000898,0.000917,0.003213
29201,0.000899,0.000932,0.003257
29401,0.000901,0.000929,0.003265
29601,0.000846,0.000929,0.003286
29801,0.000850,0.000917,0.003336
