n,Ordered,Reversed,Randomized
1,0,0,0
201,0,0,0
401,0,0,0
601,0,0,0
801,0,0,0
1001,0,0,0
1201,0,0,0
1401,0,0,0
1601,0,0,0
1801,0,0,0
2001,0,0,0
2201,0,0,0
2401,0,0,0
2601,0,0,0
2801,0,0,0
3001,0,0,0
3201,0,0,0
3401,0,0,0
3601,0,0,0
3801,0,0,0
4001,0,0,0
4201,0,0,0
4401,0,0,0
4601,0,0,0
4801,0,0,0
5001,0,0,0
5201,0,0,0
5401,0,0,0
5601,0,0,0
5801,0,0,0
6001,0,0,0
6201,0,0,0
6401,0,0,0
6601,0,0,0
6801,0,0,0
7001,0,0,0
7201,0,0,0
7401,0,0,0
7601,0,0,0
7801,0,0,0
8001,0,0,0
8201,0,0,0
8401,0,0,0
8601,0,0,0
8801,0,0,0
9001,0,0,0
9201,0,0,0
9401,0,0,0
9601,0,0,0
9801,0,0,0
10001,0,0,0
10201,0,0,0
10401,0,0,0
10601,0,0,0
10801,0,0,0
11001,0,0,0
11201,0,0,0
11401,0,0,0
11601,0,0,0
11801,0,0,0
12001,0,0,0
12201,0,0,0
12401,0,0,0
12601,0,0,0
12801,0,0,0
13001,0,0,0
13201,0,0,0
13401,0,0,0
13601,0,0,0
13801,0,0,0
14001,0,0,0
14201,0,0,0
14401,0,0,0
14601,0,0,0
14801,0,0,0
15001,0,0,0
15201,0,0,0
15401,0,0,0
15601,0,0,0
15801,0,0,0
16001,0,0,0
16201,0,0,0
16401,0,0,0
16601,0,0,0
16801,0,0,0
17001,0,0,0
17201,0,0,0
17401,0,0,0
17601,0,0,0
17801,0,0,0
18001,0,0,0
18201,0,0,0
18401,0,0,0
18601,0,0,0
18801,0,0,0
19001,0,0,0
19201,0,0,0
19401,0,0,0
19601,0,0,0
19801,0,0,0
20001,0,0,0
20201,0,0,0
20401,0,0,0
20601,0,0,0
20801,0,0,0
21001,0,0,0
21201,0,0,0
21401,0,0,0
21601,0,0,0
21801,0,0,0
22001,0,0,0
22201,0,0,0
22401,0,0,0
22601,0,0,0
22801,0,0,0
23001,0,0,0
23201,0,0,0
23401,0,0,0
23601,0,0,0
23801,0,0,0
24001,0,0,0
24201,0,0,0
24401,0,0,0
24601,0,0,0
24801,0,0,0
25001,0,0,0
25201,0,0,0
25401,0,0,0
25601,0,0,0
25801,0,0,0
26001,0,0,0
26201,0,0,0
26401,0,0,0
26601,0,0,0
26801,0,0,0
27001,0,0,0
27201,0,0,0
27401,0,0,0
27601,0,0,0
27801,0,0,0
28001,0,0,0
28201,0,0,0
28401,0,0,0
28601,0,0,0
28801,0,0,0
29001,0,0,0
29201,0,0,0
29401,0,0,0
29601,0,0,0
29801,0,0,0
