n,Ordered,Reversed,Randomized
1,0.000039,0.000008,0.000000
201,0.000012,0.000010,0.000013
401,0.000033,0.000032,0.000013
601,0.000018,0.000016,0.000017
801,0.000023,0.000022,0.000022
1001,0.000043,0.000043,0.000037
1201,0.000051,0.000051,0.000051
1401,0.000059,0.000059,0.000059
1601,0.000065,0.000068,0.000067
1801,0.000075,0.000076,0.000076
2001,0.000091,0.000084,0.000084
2201,0.000091,0.000092,0.000092
2401,0.000099,0.000099,0.000099
2601,0.000107,0.000110,0.000107
2801,0.000118,0.000120,0.000116
3001,0.000122,0.000124,0.000128
3201,0.000134,0.000133,0.000133
3401,0.000140,0.000144,0.000141
3601,0.000147,0.000150,0.000149
3801,0.000156,0.000164,0.000159
4001,0.000162,0.000168,0.000169
4201,0.000186,0.000176,0.000174
4401,0.000178,0.000178,0.000183
4601,0.000192,0.000190,0.000197
4801,0.000199,0.000207,0.000201
5001,0.000205,0.000208,0.000211
5201,0.000221,0.000218,0.000222
5401,0.000227,0.000232,0.000228
5601,0.000233,0.000241,0.000237
5801,0.000243,0.000238,0.000243
6001,0.000262,0.000265,0.000255
6201,0.000264,0.000267,0.000261
6401,0.000263,0.000276,0.000270
6601,0.000278,0.000278,0.000276
6801,0.000286,0.000305,0.000285
7001,0.000295,0.000302,0.000306
7201,0.000304,0.000304,0.000307
7401,0.000306,0.000307,0.000307
7601,0.000312,0.000310,0.000326
7801,0.000324,0.000337,0.000339
8001,0.000346,0.000347,0.000347
8201,0.000354,0.000351,0.000353
8401,0.000356,0.000358,0.000352
8601,0.000352,0.000356,0.000367
8801,0.000378,0.000381,0.000379
9001,0.000388,0.000386,0.000395
9201,0.000410,0.000418,0.000410
9401,0.000389,0.000394,0.000410
9601,0.000470,0.000444,0.000418
9801,0.000422,0.000427,0.000423
10001,0.000604,0.000599,0.000616
10201,0.000643,0.000636,0.000642
10401,0.000627,0.000626,0.000638
10601,0.000667,0.000647,0.000645
10801,0.000658,0.000658,0.000655
11001,0.000666,0.000659,0.000678
11201,0.000687,0.000685,0.000714
11401,0.000696,0.000689,0.000708
11601,0.000711,0.000723,0.000712
11801,0.000714,0.000710,0.000713
12001,0.000705,0.000740,0.000739
12201,0.000751,0.000746,0.000744
12401,0.000744,0.000763,0.000747
12601,0.000772,0.000777,0.000792
12801,0.000781,0.000776,0.000791
13001,0.000784,0.000802,0.000790
13201,0.000800,0.000805,0.000796
13401,0.000821,0.000820,0.000815
13601,0.000806,0.000822,0.000828
13801,0.000837,0.000841,0.000867
14001,0.000830,0.000849,0.000847
14201,0.000869,0.000837,0.000855
14401,0.000868,0.000857,0.000883
14601,0.000884,0.000892,0.000877
14801,0.000899,0.000892,0.000889
15001,0.000888,0.000918,0.000931
15201,0.000933,0.000926,0.000972
15401,0.001137,0.000998,0.001132
15601,0.001407,0.001110,0.001015
15801,0.000964,0.001154,0.000969
16001,0.000972,0.001007,0.001024
16201,0.000976,0.000995,0.000982
16401,0.001024,0.001083,0.001011
16601,0.000999,0.001013,0.001022
16801,0.001032,0.001193,0.001023
17001,0.001031,0.001057,0.001080
17201,0.001251,0.001418,0.001379
17401,0.001041,0.001039,0.001074
17601,0.001075,0.001085,0.001073
17801,0.001090,0.001095,0.001151
18001,0.001101,0.001131,0.001086
18201,0.001084,0.001092,0.001118
18401,0.001257,0.001256,0.001277
18601,0.001105,0.001112,0.001194
18801,0.001161,0.001172,0.001295
19001,0.001426,0.001134,0.001158
19201,0.001147,0.001156,0.001163
19401,0.001154,0.001165,0.001196
19601,0.001156,0.001179,0.001213
19801,0.001180,0.001187,0.001214
20001,0.001170,0.001198,0.001230
20201,0.001215,0.001283,0.001266
20401,0.001244,0.001253,0.001281
20601,0.001228,0.001257,0.001352
20801,0.001379,0.001258,0.001248
21001,0.001292,0.001285,0.001302
21201,0.001293,0.001300,0.001289
21401,0.001264,0.001306,0.001305
21601,0.001285,0.001297,0.001337
21801,0.001305,0.001357,0.001379
22001,0.001333,0.001367,0.001370
22201,0.001322,0.001369,0.001374
22401,0.001377,0.001388,0.001367
22601,0.001450,0.001379,0.001376
22801,0.001699,0.001420,0.001402
23001,0.001404,0.001425,0.001416
23201,0.001453,0.001419,0.001440
23401,0.001429,0.001425,0.001437
23601,0.001389,0.001411,0.001445
23801,0.001432,0.001437,0.001538
24001,0.001462,0.001487,0.001461
24201,0.001551,0.001528,0.001489
24401,0.001482,0.001511,0.001511
24601,0.001510,0.001525,0.001495
24801,0.001499,0.001528,0.001513
25001,0.001473,0.001508,0.001523
25201,0.001493,0.001532,0.001535
25401,0.001540,0.001572,0.001566
25601,0.001556,0.001561,0.001573
25801,0.001582,0.001630,0.001573
26001,0.001544,0.001576,0.001604
26201,0.001621,0.001634,0.001607
26401,0.001625,0.001633,0.001593
26601,0.001694,0.001702,0.001706
26801,0.001873,0.001755,0.001653
27001,0.001623,0.001671,0.001655
27201,0.001677,0.001629,0.001699
27401,0.001694,0.001710,0.001727
27601,0.001671,0.001700,0.001669
27801,0.001702,0.001722,0.001712
28001,0.001917,0.001697,0.001709
28201,0.001695,0.001820,0.001727
28401,0.001698,0.001729,0.001711
28601,0.001802,0.001793,0.001785
28801,0.001739,0.001708,0.001744
29001,0.001749,0.001769,0.001783
29201,0.001788,0.001785,0.001753
29401,0.001840,0.001802,0.001808
29601,0.001809,0.001822,0.001818
29801,0.001825,0.001806,0.001820
