n,Ordered,Reversed,Randomized
1,0,0,0
201,20100,20100,20100
401,80200,80200,80200
601,180300,180300,180300
801,320400,320400,320400
1001,500500,500500,500500
1201,720600,720600,720600
1401,980700,980700,980700
1601,1280800,1280800,1280800
1801,1620900,1620900,1620900
2001,2001000,2001000,2001000
2201,2421100,2421100,2421100
2401,2881200,2881200,2881200
2601,3381300,3381300,3381300
2801,3921400,3921400,3921400
3001,4501500,4501500,4501500
3201,5121600,5121600,5121600
3401,5781700,5781700,5781700
3601,6481800,6481800,6481800
3801,7221900,7221900,7221900
4001,8002000,8002000,8002000
4201,8822100,8822100,8822100
4401,9682200,9682200,9682200
4601,10582300,10582300,10582300
4801,11522400,11522400,11522400
5001,12502500,12502500,12502500
5201,13522600,13522600,13522600
5401,14582700,14582700,14582700
5601,15682800,15682800,15682800
5801,16822900,16822900,16822900
6001,18003000,18003000,18003000
6201,19223100,19223100,19223100
6401,20483200,20483200,20483200
6601,21783300,21783300,21783300
6801,23123400,23123400,23123400
7001,24503500,24503500,24503500
7201,25923600,25923600,25923600
7401,27383700,27383700,27383700
7601,28883800,28883800,28883800
7801,30423900,30423900,30423900
8001,32004000,32004000,32004000
8201,33624100,33624100,33624100
8401,35284200,35284200,35284200
8601,36984300,36984300,36984300
8801,38724400,38724400,38724400
9001,40504500,40504500,40504500
9201,42324600,42324600,42324600
9401,44184700,44184700,44184700
9601,46084800,46084800,46084800
9801,48024900,48024900,48024900
10001,50005000,50005000,50005000
10201,52025100,52025100,52025100
10401,54085200,54085200,54085200
10601,56185300,56185300,56185300
10801,58325400,58325400,58325400
11001,60505500,60505500,60505500
11201,62725600,62725600,62725600
11401,64985700,64985700,64985700
11601,67285800,67285800,67285800
11801,69625900,69625900,69625900
12001,72006000,72006000,72006000
12201,74426100,74426100,74426100
12401,76886200,76886200,76886200
12601,79386300,79386300,79386300
12801,81926400,81926400,81926400
13001,84506500,84506500,84506500
13201,87126600,87126600,87126600
13401,89786700,89786700,89786700
13601,92486800,92486800,92486800
13801,95226900,95226900,95226900
14001,98007000,98007000,98007000
14201,100827100,100827100,100827100
14401,103687200,103687200,103687200
14601,106587300,106587300,106587300
14801,109527400,109527400,109527400
15001,112507500,112507500,112507500
15201,115527600,115527600,115527600
15401,118587700,118587700,118587700
15601,121687800,121687800,121687800
15801,124827900,124827900,124827900
16001,128008000,128008000,128008000
16201,131228100,131228100,131228100
16401,134488200,134488200,134488200
16601,137788300,137788300,137788300
16801,141128400,141128400,141128400
17001,144508500,144508500,144508500
17201,147928600,147928600,147928600
17401,151388700,151388700,151388700
17601,154888800,154888800,154888800
17801,158428900,158428900,158428900
18001,162009000,162009000,162009000
18201,165629100,165629100,165629100
18401,169289200,169289200,169289200
18601,172989300,172989300,172989300
18801,176729400,176729400,176729400
19001,180509500,180509500,180509500
19201,184329600,184329600,184329600
19401,188189700,188189700,188189700
19601,192089800,192089800,192089800
19801,196029900,196029900,196029900
20001,200010000,200010000,200010000
20201,204030100,204030100,204030100
20401,208090200,208090200,208090200
20601,212190300,212190300,212190300
20801,216330400,216330400,216330400
21001,220510500,220510500,220510500
21201,224730600,224730600,224730600
21401,228990700,228990700,228990700
21601,233290800,233290800,233290800
21801,237630900,237630900,237630900
22001,242011000,242011000,242011000
22201,246431100,246431100,246431100
22401,250891200,250891200,250891200
22601,255391300,255391300,255391300
22801,259931400,259931400,259931400
23001,264511500,264511500,264511500
23201,269131600,269131600,269131600
23401,273791700,273791700,273791700
23601,278491800,278491800,278491800
23801,283231900,283231900,283231900
24001,288012000,288012000,288012000
24201,292832100,292832100,292832100
24401,297692200,297692200,297692200
24601,302592300,302592300,302592300
24801,307532400,307532400,307532400
25001,312512500,312512500,312512500
25201,317532600,317532600,317532600
25401,322592700,322592700,322592700
25601,327692800,327692800,327692800
25801,332832900,332832900,332832900
26001,338013000,338013000,338013000
26201,343233100,343233100,343233100
26401,348493200,348493200,348493200
26601,353793300,353793300,353793300
26801,359133400,359133400,359133400
27001,364513500,364513500,364513500
27201,369933600,369933600,369933600
27401,375393700,375393700,375393700
27601,380893800,380893800,380893800
27801,386433900,386433900,386433900
28001,392014000,392014000,392014000
28201,397634100,397634100,397634100
28401,403294200,403294200,403294200
28601,408994300,408994300,408994300
28801,414734400,414734400,414734400
29001,420514500,420514500,420514500
29201,426334600,426334600,426334600
29401,432194700,432194700,432194700
29601,438094800,438094800,438094800
29801,444034900,444034900,444034900
