n,Ordered,Reversed,Randomized
1,0,0,0
201,0,100,194
401,0,200,392
601,0,300,591
801,0,400,793
1001,0,500,994
1201,0,600,1191
1401,0,700,1392
1601,0,800,1590
1801,0,900,1791
2001,0,1000,1991
2201,0,1100,2191
2401,0,1200,2392
2601,0,1300,2590
2801,0,1400,2792
3001,0,1500,2989
3201,0,1600,3192
3401,0,1700,3393
3601,0,1800,3593
3801,0,1900,3791
4001,0,2000,3993
4201,0,2100,4192
4401,0,2200,4390
4601,0,2300,4594
4801,0,2400,4792
5001,0,2500,4990
5201,0,2600,5191
5401,0,2700,5389
5601,0,2800,5590
5801,0,2900,5787
6001,0,3000,5991
6201,0,3100,6192
6401,0,3200,6393
6601,0,3300,6591
6801,0,3400,6790
7001,0,3500,6989
7201,0,3600,7191
7401,0,3700,7392
7601,0,3800,7591
7801,0,3900,7789
8001,0,4000,7989
8201,0,4100,8192
8401,0,4200,8390
8601,0,4300,8591
8801,0,4400,8792
9001,0,4500,8992
9201,0,4600,9188
9401,0,4700,9388
9601,0,4800,9592
9801,0,4900,9791
10001,0,5000,9990
10201,0,5100,10190
10401,0,5200,10393
10601,0,5300,10592
10801,0,5400,10790
11001,0,5500,10990
11201,0,5600,11190
11401,0,5700,11391
11601,0,5800,11592
11801,0,5900,11790
12001,0,6000,11990
12201,0,6100,12192
12401,0,6200,12390
12601,0,6300,12592
12801,0,6400,12791
13001,0,6500,12988
13201,0,6600,13191
13401,0,6700,13389
13601,0,6800,13590
13801,0,6900,13792
14001,0,7000,13991
14201,0,7100,14192
14401,0,7200,14391
14601,0,7300,14592
14801,0,7400,14791
15001,0,7500,14989
15201,0,7600,15190
15401,0,7700,15391
15601,0,7800,15588
15801,0,7900,15790
16001,0,8000,15991
16201,0,8100,16192
16401,0,8200,16391
16601,0,8300,16591
16801,0,8400,16790
17001,0,8500,16989
17201,0,8600,17190
17401,0,8700,17389
17601,0,8800,17589
17801,0,8900,17790
18001,0,9000,17989
18201,0,9100,18190
18401,0,9200,18391
18601,0,9300,18589
18801,0,9400,18791
19001,0,9500,18987
19201,0,9600,19190
19401,0,9700,19388
19601,0,9800,19588
19801,0,9900,19790
20001,0,10000,19988
20201,0,10100,20190
20401,0,10200,20391
20601,0,10300,20587
20801,0,10400,20789
21001,0,10500,20989
21201,0,10600,21189
21401,0,10700,21389
21601,0,10800,21589
21801,0,10900,21787
22001,0,11000,21990
22201,0,11100,22189
22401,0,11200,22388
22601,0,11300,22592
22801,0,11400,22786
23001,0,11500,22991
23201,0,11600,23192
23401,0,11700,23388
23601,0,11800,23591
23801,0,11900,23791
24001,0,12000,23987
24201,0,12100,24191
24401,0,12200,24390
24601,0,12300,24590
24801,0,12400,24790
25001,0,12500,24989
25201,0,12600,25188
25401,0,12700,25389
25601,0,12800,25588
25801,0,12900,25790
26001,0,13000,25988
26201,0,13100,26191
26401,0,13200,26389
26601,0,13300,26589
26801,0,13400,26788
27001,0,13500,26988
27201,0,13600,27190
27401,0,13700,27389
27601,0,13800,27590
27801,0,13900,27787
28001,0,14000,27990
28201,0,14100,28190
28401,0,14200,28388
28601,0,14300,28590
28801,0,14400,28789
29001,0,14500,28987
29201,0,14600,29193
29401,0,14700,29390
29601,0,14800,29591
29801,0,14900,29788
