n,Ordered,Reversed,Randomized
1,0.000000,0.000000,0.000000
201,0.000040,0.000042,0.000048
401,0.000178,0.000165,0.000169
601,0.000331,0.000365,0.000374
801,0.000594,0.000644,0.000648
1001,0.000915,0.000981,0.001007
1201,0.001565,0.001377,0.001354
1401,0.001728,0.001883,0.001877
1601,0.002290,0.002418,0.002406
1801,0.003058,0.003120,0.003027
2001,0.003640,0.003867,0.003692
2201,0.005213,0.004537,0.004497
2401,0.005641,0.005493,0.005385
2601,0.005980,0.006335,0.006183
2801,0.006865,0.007806,0.009224
3001,0.010958,0.009273,0.009058
3201,0.009212,0.009834,0.009678
3401,0.010247,0.011105,0.010993
3601,0.011802,0.012647,0.011977
3801,0.012783,0.013892,0.013315
4001,0.014223,0.015244,0.014697
4201,0.015383,0.016956,0.016630
4401,0.017071,0.018495,0.017774
4601,0.019206,0.020292,0.019527
4801,0.020277,0.022109,0.021250
5001,0.022077,0.024060,0.023202
5201,0.023871,0.026032,0.024990
5401,0.025802,0.027620,0.026620
5601,0.027180,0.029747,0.028278
5801,0.029207,0.032678,0.030616
6001,0.031219,0.033718,0.032269
6201,0.033339,0.036247,0.034559
6401,0.035198,0.038644,0.036528
6601,0.037689,0.040707,0.039177
6801,0.040303,0.043794,0.041879
7001,0.044796,0.046350,0.044184
7201,0.044897,0.048431,0.046668
7401,0.047632,0.052111,0.049361
7601,0.049867,0.054189,0.051245
7801,0.052493,0.057046,0.054395
8001,0.055673,0.060706,0.056982
8201,0.058067,0.062753,0.059245
8401,0.061060,0.066019,0.063801
8601,0.063345,0.069064,0.065608
8801,0.067435,0.073121,0.069756
9001,0.070792,0.075637,0.072814
9201,0.073110,0.079623,0.075379
9401,0.075838,0.082987,0.078011
9601,0.078828,0.086345,0.081744
9801,0.083272,0.089758,0.084767
10001,0.082745,0.091936,0.089429
10201,0.091822,0.098645,0.093304
10401,0.094039,0.101439,0.096526
10601,0.099432,0.106193,0.100046
10801,0.100710,0.110093,0.104879
11001,0.104569,0.113850,0.107661
11201,0.108527,0.117961,0.111845
11401,0.113171,0.122633,0.116404
11601,0.116955,0.127884,0.120631
11801,0.120938,0.131444,0.124194
12001,0.124049,0.135073,0.128954
12201,0.129634,0.140307,0.133235
12401,0.133920,0.144748,0.134930
12601,0.137365,0.149010,0.140991
12801,0.141768,0.152526,0.144480
13001,0.145094,0.158867,0.150642
13201,0.151482,0.163051,0.154447
13401,0.156442,0.170049,0.158474
13601,0.157888,0.172208,0.164259
13801,0.167466,0.179973,0.170940
14001,0.172426,0.211953,0.177005
14201,0.178852,0.192779,0.180547
14401,0.175555,0.197656,0.186282
14601,0.188090,0.203779,0.190970
14801,0.191744,0.206102,0.196073
15001,0.194790,0.212649,0.200093
15201,0.201277,0.218741,0.204714
15401,0.205501,0.222256,0.209663
15601,0.208557,0.227819,0.215072
15801,0.216845,0.233603,0.224710
16001,0.224312,0.251791,0.227525
16201,0.235100,0.247754,0.235048
16401,0.237838,0.257700,0.250308
16601,0.242665,0.264314,0.249078
16801,0.248518,0.267800,0.250204
17001,0.253721,0.271834,0.255261
17201,0.257350,0.280559,0.265160
17401,0.264232,0.285018,0.274109
17601,0.272218,0.308369,0.283780
17801,0.281494,0.300559,0.281274
18001,0.281147,0.306073,0.287490
18201,0.292188,0.317181,0.294384
18401,0.294620,0.319211,0.301506
18601,0.312759,0.337626,0.310802
18801,0.310303,0.337652,0.316075
19001,0.318483,0.338471,0.318702
19201,0.316173,0.352120,0.332537
19401,0.333768,0.363543,0.339208
19601,0.337981,0.367843,0.346963
19801,0.347624,0.374226,0.354931
20001,0.351340,0.373000,0.359192
20201,0.362353,0.399733,0.361469
20401,0.373048,0.411121,0.385744
20601,0.386685,0.412106,0.381532
20801,0.380028,0.414808,0.386727
21001,0.383937,0.417804,0.392775
21201,0.395263,0.428918,0.396899
21401,0.398807,0.430700,0.406541
21601,0.409143,0.440711,0.413804
21801,0.416660,0.445840,0.421958
22001,0.421873,0.456967,0.429585
22201,0.428318,0.463373,0.437753
22401,0.436542,0.469409,0.443465
22601,0.444907,0.480459,0.453042
22801,0.444753,0.483597,0.459974
23001,0.459555,0.496606,0.468062
23201,0.469589,0.502795,0.473694
23401,0.475095,0.513063,0.484333
23601,0.480043,0.521258,0.493701
23801,0.493890,0.533192,0.501042
24001,0.500563,0.538594,0.507242
24201,0.508422,0.545788,0.515917
24401,0.517767,0.555564,0.526331
24601,0.529107,0.566896,0.535894
24801,0.532951,0.576322,0.541826
25001,0.551644,0.588319,0.550000
25201,0.547980,0.591621,0.556932
25401,0.555459,0.602428,0.567145
25601,0.564553,0.611213,0.577790
25801,0.571947,0.622034,0.584846
26001,0.581171,0.631010,0.593088
26201,0.591690,0.640757,0.604942
26401,0.597247,0.649535,0.611758
26601,0.610888,0.662340,0.626440
26801,0.619466,0.682725,0.634240
27001,0.631354,0.700390,0.650767
27201,0.646454,0.698875,0.653938
27401,0.654581,0.714965,0.664037
27601,0.656706,0.711482,0.671397
27801,0.665099,0.720526,0.678999
28001,0.677016,0.730600,0.688273
28201,0.681854,0.739668,0.700549
28401,0.694405,0.755326,0.706903
28601,0.703448,0.760133,0.720865
28801,0.721089,0.775979,0.729710
29001,0.724604,0.784942,0.739627
29201,0.738858,0.790716,0.751273
29401,0.742314,0.805285,0.759912
29601,0.756542,0.814703,0.772729
29801,0.789204,0.868291,0.803774
