n,Ordered,Reversed,Randomized
1,0,0,0
201,0,4020,2364
401,0,16040,9356
601,0,36060,19791
801,0,64080,35722
1001,0,100100,54384
1201,0,144120,78199
1401,0,196140,104706
1601,0,256160,134768
1801,0,324180,171972
2001,0,400200,215838
2201,0,484220,254704
2401,0,576240,302868
2601,0,676260,354337
2801,0,784280,414295
3001,0,900300,470006
3201,0,1024320,533398
3401,0,1156340,605652
3601,0,1296360,671759
3801,0,1444380,752308
4001,0,1600400,837319
4201,0,1764420,920904
4401,0,1936440,1000376
4601,0,2116460,1090368
4801,0,2304480,1188665
5001,0,2500500,1317013
5201,0,2704520,1406527
5401,0,2916540,1513544
5601,0,3136560,1623352
5801,0,3364580,1743368
6001,0,3600600,1858527
6201,0,3844620,1977555
6401,0,4096640,2135031
6601,0,4356660,2239630
6801,0,4624680,2381026
7001,0,4900700,2536959
7201,0,5184720,2674876
7401,0,5476740,2804756
7601,0,5776760,2958594
7801,0,6084780,3135234
8001,0,6400800,3293122
8201,0,6724820,3438865
8401,0,7056840,3661788
8601,0,7396860,3802724
8801,0,7744880,3969703
9001,0,8100900,4165585
9201,0,8464920,4364143
9401,0,8836940,4538193
9601,0,9216960,4741745
9801,0,9604980,4941291
10001,0,10001000,5126432
10201,0,10405020,5337739
10401,0,10817040,5523387
10601,0,11237060,5775338
10801,0,11665080,5946241
11001,0,12101100,6215147
11201,0,12545120,6425476
11401,0,12997140,6660544
11601,0,13457160,6879938
11801,0,13925180,7099511
12001,0,14401200,7375826
12201,0,14885220,7659839
12401,0,15377240,7897231
12601,0,15877260,8155972
12801,0,16385280,8387330
13001,0,16901300,8639962
13201,0,17425320,8884770
13401,0,17957340,9192329
13601,0,18497360,9484297
13801,0,19045380,9726914
14001,0,19601400,9986402
14201,0,20165420,10331542
14401,0,20737440,10635960
14601,0,21317460,10933315
14801,0,21905480,11225825
15001,0,22501500,11494797
15201,0,23105520,11808659
15401,0,23717540,12131393
15601,0,24337560,12469048
15801,0,24965580,12749442
16001,0,25601600,13089431
16201,0,26245620,13406282
16401,0,26897640,13716567
16601,0,27557660,13980320
16801,0,28225680,14409399
17001,0,28901700,14827024
17201,0,29585720,15093136
17401,0,30277740,15423512
17601,0,30977760,15800926
17801,0,31685780,16213517
18001,0,32401800,16459208
18201,0,33125820,16829797
18401,0,33857840,17241581
18601,0,34597860,17647109
18801,0,35345880,18033605
19001,0,36101900,18363365
19201,0,36865920,18809916
19401,0,37637940,19191160
19601,0,38417960,19474569
19801,0,39205980,20015996
20001,0,40002000,20395094
20201,0,40806020,20815052
20401,0,41618040,21244105
20601,0,42438060,21526803
20801,0,43266080,22044238
21001,0,44102100,22437126
21201,0,44946120,22878611
21401,0,45798140,23334721
21601,0,46658160,23734379
21801,0,47526180,24236704
22001,0,48402200,24665546
22201,0,49286220,25151382
22401,0,50178240,25525724
22601,0,51078260,25991569
22801,0,51986280,26451593
23001,0,52902300,26910350
23201,0,53826320,27296468
23401,0,54758340,27748462
23601,0,55698360,28396209
23801,0,56646380,28891841
24001,0,57602400,29134184
24201,0,58566420,29749292
24401,0,59538440,30343907
24601,0,60518460,30794094
24801,0,61506480,31329038
25001,0,62502500,31664816
25201,0,63506520,32298891
25401,0,64518540,32755896
25601,0,65538560,33419244
25801,0,66566580,33816050
26001,0,67602600,34359357
26201,0,68646620,34785063
26401,0,69698640,35360663
26601,0,70758660,35888993
26801,0,71826680,36315560
27001,0,72902700,37189056
27201,0,73986720,37665497
27401,0,75078740,38089258
27601,0,76178760,38776504
27801,0,77286780,39225044
28001,0,78402800,39805578
28201,0,79526820,40364723
28401,0,80658840,40911946
28601,0,81798860,41528615
28801,0,82946880,42195938
29001,0,84102900,42669069
29201,0,85266920,43252961
29401,0,86438940,43861464
29601,0,87618960,44420855
29801,0,88806980,45126655
