n,Ordered,Reversed,Randomized
1,0,0,0
201,0,4296,2740
401,0,16596,10139
601,0,36896,21015
801,0,65196,37374
1001,0,101496,56468
1201,0,145796,80680
1401,0,198096,107645
1601,0,258396,138077
1801,0,326696,175766
2001,0,402996,220084
2201,0,487296,259357
2401,0,579596,307947
2601,0,679896,359856
2801,0,788196,420255
3001,0,904496,476348
3201,0,1028796,540236
3401,0,1161096,612936
3601,0,1301396,679386
3801,0,1449696,760431
4001,0,1605996,845894
4201,0,1770296,929919
4401,0,1942596,1009772
4601,0,2122896,1100216
4801,0,2311196,1198945
5001,0,2507496,1327691
5201,0,2711796,1417619
5401,0,2924096,1525143
5601,0,3144396,1635327
5801,0,3372696,1755783
6001,0,3608996,1871395
6201,0,3853296,1990868
6401,0,4105596,2148763
6601,0,4365896,2253759
6801,0,4634196,2395636
7001,0,4910496,2552033
7201,0,5194796,2690276
7401,0,5487096,2820662
7601,0,5787396,2974931
7801,0,6095696,3152008
8001,0,6411996,3310368
8201,0,6736296,3456514
8401,0,7068596,3679888
8601,0,7408896,3821289
8801,0,7757196,3988677
9001,0,8113496,4185053
9201,0,8477796,4383967
9401,0,8850096,4558423
9601,0,9230396,4762483
9801,0,9618696,4962491
10001,0,10014996,5148003
10201,0,10419296,5359780
10401,0,10831596,5545864
10601,0,11251896,5798226
10801,0,11680196,5969488
11001,0,12116496,6238838
11201,0,12560796,6449652
11401,0,13013096,6685120
11601,0,13473396,6904885
11801,0,13941696,7124977
12001,0,14417996,7401792
12201,0,14902296,7686241
12401,0,15394596,7924019
12601,0,15894896,8183220
12801,0,16403196,8415072
13001,0,16919496,8668069
13201,0,17443796,8913236
13401,0,17976096,9221357
13601,0,18516396,9513729
13801,0,19064696,9756749
14001,0,19620996,10016655
14201,0,20185296,10362303
14401,0,20757596,10667137
14601,0,21337896,10964912
14801,0,21926196,11257788
15001,0,22522496,11527232
15201,0,23126796,11841468
15401,0,23739096,12164794
15601,0,24359396,12502742
15801,0,24987696,12783632
16001,0,25623996,13124139
16201,0,26268296,13441348
16401,0,26920596,13752025
16601,0,27580896,14016226
16801,0,28249196,14445717
17001,0,28925496,14863901
17201,0,29609796,15130300
17401,0,30302096,15461025
17601,0,31002396,15839109
17801,0,31710696,16252036
18001,0,32426996,16498183
18201,0,33151296,16869222
18401,0,33883596,17281438
18601,0,34623896,17687345
18801,0,35372196,18074372
19001,0,36128496,18404529
19201,0,36892796,18851544
19401,0,37665096,19233230
19601,0,38445396,19517016
19801,0,39233696,20058926
20001,0,40029996,20438361
20201,0,40834296,20858818
20401,0,41646596,21288330
20601,0,42466896,21571438
20801,0,43295196,22089329
21001,0,44131496,22482544
21201,0,44975796,22924564
21401,0,45828096,23381199
21601,0,46688396,23781264
21801,0,47556696,24283863
22001,0,48432996,24713266
22201,0,49317296,25199533
22401,0,50209596,25574289
22601,0,51109896,26040532
22801,0,52018196,26501022
23001,0,52934496,26960116
23201,0,53858796,27346715
23401,0,54791096,27799134
23601,0,55731396,28447358
23801,0,56679696,28943520
24001,0,57635996,29186140
24201,0,58600296,29801798
24401,0,59572596,30396857
24601,0,60552896,30847371
24801,0,61541196,31382883
25001,0,62537496,31719045
25201,0,63541796,32353390
25401,0,64554096,32811098
25601,0,65574396,33474734
25801,0,66602696,33871932
26001,0,67638996,34415760
26201,0,68683296,34841934
26401,0,69735596,35417948
26601,0,70795896,35946562
26801,0,71864196,36373520
27001,0,72940496,37247663
27201,0,74024796,37724540
27401,0,75117096,38148705
27601,0,76217396,38836475
27801,0,77325696,39285462
28001,0,78441996,39866410
28201,0,79566296,40425998
28401,0,80698596,40973641
28601,0,81838896,41590628
28801,0,82987196,42258467
29001,0,84143496,42731932
29201,0,85307796,43316165
29401,0,86480096,43925277
29601,0,87660396,44485008
29801,0,88848696,45191273
