n,Ordered,Reversed,Randomized
1,0.000000,0.000000,0.000000
201,0.000002,0.000019,0.000020
401,0.000003,0.000062,0.000049
601,0.000005,0.000135,0.000090
801,0.000006,0.000233,0.000152
1001,0.000007,0.000360,0.000222
1201,0.000008,0.000511,0.000310
1401,0.000010,0.000694,0.000409
1601,0.000012,0.000892,0.000511
1801,0.000013,0.001230,0.000645
2001,0.000014,0.001378,0.000786
2201,0.000015,0.001665,0.000941
2401,0.000016,0.001976,0.001115
2601,0.000018,0.002307,0.001284
2801,0.000019,0.002739,0.001479
3001,0.000020,0.003061,0.001674
3201,0.000023,0.003484,0.001902
3401,0.000024,0.003926,0.002141
3601,0.000026,0.004446,0.002386
3801,0.000027,0.004971,0.002666
4001,0.000027,0.005416,0.002930
4201,0.000029,0.005976,0.003222
4401,0.000030,0.006594,0.003536
4601,0.000032,0.007232,0.003829
4801,0.000033,0.008481,0.004662
5001,0.000036,0.009057,0.004841
5201,0.000037,0.009405,0.004967
5401,0.000037,0.009965,0.005374
5601,0.000040,0.010906,0.005847
5801,0.000041,0.011685,0.006131
6001,0.000042,0.012441,0.006557
6201,0.000043,0.013279,0.006974
6401,0.000045,0.014272,0.007709
6601,0.000049,0.016394,0.008189
6801,0.000047,0.015781,0.008359
7001,0.000048,0.016875,0.009043
7201,0.000051,0.018138,0.009455
7401,0.000046,0.016666,0.009487
7601,0.000052,0.019618,0.010341
7801,0.000053,0.021160,0.011067
8001,0.000054,0.022074,0.011759
8201,0.000058,0.023520,0.012329
8401,0.000058,0.024704,0.013068
8601,0.000061,0.025853,0.013591
8801,0.000062,0.027590,0.013119
9001,0.000060,0.027144,0.014373
9201,0.000062,0.028819,0.015002
9401,0.000066,0.029888,0.015724
9601,0.000068,0.031550,0.016431
9801,0.000069,0.032722,0.017033
10001,0.000070,0.034183,0.017687
10201,0.000069,0.035394,0.018659
10401,0.000070,0.036784,0.019030
10601,0.000073,0.038147,0.020016
10801,0.000073,0.039850,0.020439
11001,0.000080,0.041083,0.021362
11201,0.000076,0.042689,0.022073
11401,0.000078,0.044099,0.022895
11601,0.000082,0.046607,0.024032
11801,0.000081,0.047190,0.024329
12001,0.000082,0.049069,0.025345
12201,0.000089,0.050676,0.026370
12401,0.000084,0.052487,0.027100
12601,0.000088,0.054000,0.028041
12801,0.000087,0.056978,0.028862
13001,0.000092,0.057522,0.029709
13201,0.000092,0.059337,0.030923
13401,0.000094,0.061415,0.031535
13601,0.000094,0.063108,0.032965
13801,0.000098,0.065164,0.033309
14001,0.000096,0.066681,0.034364
14201,0.000100,0.068844,0.035460
14401,0.000099,0.070627,0.036659
14601,0.000100,0.072633,0.037605
14801,0.000101,0.074890,0.038657
15001,0.000106,0.076972,0.039487
15201,0.000104,0.078542,0.040995
15401,0.000105,0.080582,0.041485
15601,0.000107,0.082854,0.042760
15801,0.000108,0.085125,0.043974
16001,0.000110,0.087616,0.044943
16201,0.000111,0.089820,0.046256
16401,0.000113,0.092370,0.047115
16601,0.000114,0.095626,0.048036
16801,0.000115,0.096673,0.049514
17001,0.000116,0.098870,0.051120
17201,0.000122,0.101126,0.051783
17401,0.000122,0.103499,0.053672
17601,0.000123,0.106166,0.054510
17801,0.000121,0.108117,0.055480
18001,0.000126,0.110797,0.056554
18201,0.000125,0.114130,0.057695
18401,0.000127,0.115452,0.059406
18601,0.000127,0.118129,0.060872
18801,0.000129,0.120749,0.061802
19001,0.000131,0.123273,0.063231
19201,0.000132,0.126319,0.064610
19401,0.000133,0.129047,0.065933
19601,0.000134,0.133001,0.066805
19801,0.000137,0.134305,0.068801
20001,0.000137,0.137331,0.070282
20201,0.000141,0.140359,0.071560
20401,0.000140,0.142508,0.072844
20601,0.000141,0.145201,0.073880
20801,0.000143,0.148466,0.075509
21001,0.000143,0.151029,0.076675
21201,0.000142,0.154141,0.078383
21401,0.000146,0.156956,0.080013
21601,0.000148,0.159630,0.081455
21801,0.000149,0.163909,0.083271
22001,0.000150,0.168154,0.085250
22201,0.000155,0.170669,0.086963
22401,0.000161,0.172524,0.087678
22601,0.000154,0.176520,0.088934
22801,0.000160,0.178913,0.091082
23001,0.000158,0.181767,0.092313
23201,0.000158,0.185402,0.093575
23401,0.000160,0.188277,0.095108
23601,0.000162,0.190558,0.097043
23801,0.000164,0.194819,0.098844
24001,0.000165,0.197808,0.099810
24201,0.000166,0.200632,0.102135
24401,0.000171,0.207568,0.106009
24601,0.000172,0.210843,0.107645
24801,0.000173,0.207481,0.107609
25001,0.000171,0.215676,0.108995
25201,0.000173,0.219227,0.111129
25401,0.000174,0.222302,0.112850
25601,0.000175,0.226012,0.114698
25801,0.000177,0.229309,0.116512
26001,0.000178,0.231701,0.117947
26201,0.000183,0.237858,0.119471
26401,0.000181,0.240855,0.121014
26601,0.000182,0.243063,0.123191
26801,0.000188,0.245652,0.128262
27001,0.000177,0.251664,0.130891
27201,0.000186,0.256597,0.129627
27401,0.000195,0.258236,0.130917
27601,0.000188,0.262903,0.134707
27801,0.000195,0.272872,0.139479
28001,0.000201,0.278598,0.138308
28201,0.000192,0.274798,0.138747
28401,0.000199,0.278399,0.140587
28601,0.000199,0.282679,0.143366
28801,0.000202,0.286133,0.144618
29001,0.000199,0.290103,0.146408
29201,0.000200,0.294188,0.147970
29401,0.000201,0.297506,0.149934
29601,0.000198,0.300362,0.152156
29801,0.000209,0.305621,0.154900
