order, n, time, comps, swaps
ordered, 100, 0.000006, 672, 672
ordered, 1000, 0.000043, 9976, 9976
ordered, 10000, 0.000525, 133616, 133616
ordered, 100000, 0.006200, 1668928, 1668928
reversed, 100, 0.000005, 672, 672
reversed, 1000, 0.000043, 9976, 9976
reversed, 10000, 0.000526, 133616, 133616
reversed, 100000, 0.006135, 1668928, 1668928
randomized, 100, 0.000007, 672, 672
randomized, 1000, 0.000081, 9976, 9976
randomized, 10000, 0.001022, 133616, 133616
randomized, 100000, 0.012662, 1668928, 1668928
