order, n, time, comps, swaps
ordered, 100, 0.000023, 4950, 0
ordered, 1000, 0.001890, 499500, 0
ordered, 10000, 0.086005, 49995000, 0
ordered, 100000, 6.777186, 4999950000, 0
reversed, 100, 0.000011, 4950, 50
reversed, 1000, 0.000819, 499500, 500
reversed, 10000, 0.086655, 49995000, 5000
reversed, 100000, 8.644807, 4999950000, 50000
randomized, 100, 0.000012, 4950, 96
randomized, 1000, 0.000942, 499500, 991
randomized, 10000, 0.067876, 49995000, 9989
randomized, 100000, 6.719275, 4999950000, 99991
